mechanism_id,agent,metric,n_seeds,mean,bootstrap_ci_low,bootstrap_ci_high,available,reason_if_unavailable,inferential_status,source_file,source_column
localized_multistep_reward_or_policy_shift,same_input_crisp,branch_correctness,0,,,,False,analytic optimal action is unavailable for the localized multi-step environment,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,branch_correctness
localized_multistep_reward_or_policy_shift,tabular,normalized_return_auc,30,3.682837222222221,3.603277791666666,3.7595759305555547,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,normalized_return_auc
localized_multistep_reward_or_policy_shift,tabular,success_auc,30,0.8566527777777779,0.8458402777777778,0.8669100694444443,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,success_auc
localized_multistep_reward_or_policy_shift,tabular,failure_probability,30,0.14835897435897435,0.1383974358974359,0.15889743589743588,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,failure_probability
localized_multistep_reward_or_policy_shift,tabular,collision_rate,30,0.0045862856042289905,0.004350839338965618,0.004855421225574824,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,collision_rate
localized_multistep_reward_or_policy_shift,tabular,risk_zone_rate,30,0.0087237546427088,0.006399233313128019,0.011078112952365498,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,risk_zone_rate
localized_multistep_reward_or_policy_shift,tabular,branch_correctness,0,,,,False,not applicable to a single-branch descriptive comparator,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,branch_correctness
observation_shift,count_gated_tau_20,normalized_return_auc,30,-1.9686688888888897,-2.0283165468750006,-1.9092981076388897,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,normalized_return_auc
observation_shift,count_gated_tau_20,success_auc,30,0.25806250000000003,0.24040243055555555,0.2762848958333333,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,success_auc
observation_shift,count_gated_tau_20,failure_probability,30,0.7414743589743591,0.7231278846153846,0.7592971153846154,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,failure_probability
observation_shift,count_gated_tau_20,collision_rate,30,0.0,0.0,0.0,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,collision_rate
observation_shift,count_gated_tau_20,risk_zone_rate,30,0.0,0.0,0.0,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,risk_zone_rate
