condition,agent,seed,success_rate,failure_rate,collision_rate,localization_error_mean,exact_support_coverage,approximate_support_coverage,memory_branch_usage_ratio,neural_branch_usage_ratio,seed_lower_tail_return_0_10,seed_minimum_return,evaluation_episode_rows,source_file
camera_dropout_only,dqn,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,dqn,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.0,0.0,0.2,0.0,1.0,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,selected_approximate_support,15002,0.0,1.0,0.0,0.0,0.0,1.0,0.48925991133299956,0.5107400886670004,-1.0802645234204828,-1.0802645234204828,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,selected_approximate_support,15003,0.0,1.0,0.0,0.0,0.0,0.975,0.5209136652479112,0.479086334752089,-1.1746017220243812,-1.1746017220243812,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,sensorized_controller,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9450645372457802,-0.9450645372457802,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
camera_dropout_only,sensorized_controller,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9665102467220276,-0.9665102467220276,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,dqn,15002,0.0,1.0,0.0,0.034892434766516045,0.0,0.0,0.0,1.0,-1.1052895222976804,-1.1052895222976804,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,dqn,15003,0.0,1.0,0.0,0.03366859704256055,0.0,0.0,0.0,1.0,-1.145184371843934,-1.145184371843934,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
