environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
combined_executed_condition,mean_return,dqn,sensorized_controller,2,-0.07721456609986489,-0.07721456609986489,-0.20978323147166522,0.055354099271935436,-0.4118540617608535,-0.3333333333333333,0.6642372916789732,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,mean_return,fuzzy_relative_reliability,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,mean_return,fuzzy_relative_reliability,sensorized_controller,2,-0.07721456609986489,-0.07721456609986489,-0.20978323147166522,0.055354099271935436,-0.4118540617608535,-0.3333333333333333,0.6642372916789732,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,mean_return,selected_approximate_support,sensorized_controller,2,-0.07721456609986489,-0.07721456609986489,-0.20978323147166522,0.055354099271935436,-0.4118540617608535,-0.3333333333333333,0.6642372916789732,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,dqn,fuzzy_relative_reliability,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,dqn,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,dqn,sensorized_controller,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,fuzzy_relative_reliability,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,fuzzy_relative_reliability,sensorized_controller,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,selected_approximate_support,sensorized_controller,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,return_auc,dqn,fuzzy_relative_reliability,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,return_auc,dqn,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,return_auc,dqn,sensorized_controller,2,-0.1328788710907976,-0.1328788710907976,-0.2007397042843515,-0.0650180378972437,-1.384591765278256,-1.0,0.3005918010408653,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,1.0,1.0,1.0
combined_executed_condition,return_auc,fuzzy_relative_reliability,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,return_auc,fuzzy_relative_reliability,sensorized_controller,2,-0.1328788710907976,-0.1328788710907976,-0.2007397042843515,-0.0650180378972437,-1.384591765278256,-1.0,0.3005918010408653,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,1.0,1.0,1.0
combined_executed_condition,return_auc,selected_approximate_support,sensorized_controller,2,-0.1328788710907976,-0.1328788710907976,-0.2007397042843515,-0.0650180378972437,-1.384591765278256,-1.0,0.3005918010408653,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,1.0,1.0,1.0
latency_only,mean_return,dqn,fuzzy_relative_reliability,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
latency_only,mean_return,dqn,selected_approximate_support,2,-0.0014764120988548096,-0.0014764120988548096,-0.0029528241977096192,0.0,-0.7071067811865475,-1.0,0.5000000000000001,1.0,1.0,0,1,1,0.0,0.0,0,0,0.0,1.0,1.0,1.0
latency_only,mean_return,dqn,sensorized_controller,2,-0.06906968331604765,-0.06906968331604765,-0.22527334860526094,0.08713398197316563,-0.3126664240352962,-0.3333333333333333,0.7349564813167063,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
latency_only,mean_return,fuzzy_relative_reliability,selected_approximate_support,2,-0.0014764120988548096,-0.0014764120988548096,-0.0029528241977096192,0.0,-0.7071067811865475,-1.0,0.5000000000000001,1.0,1.0,0,1,1,0.0,0.0,0,0,0.0,1.0,1.0,1.0
