condition,agent,delta_success_rate_vs_baseline,delta_failure_rate_vs_baseline,delta_collision_rate_vs_baseline,delta_localization_error_mean_vs_baseline,delta_exact_support_coverage_vs_baseline,delta_approximate_support_coverage_vs_baseline,delta_memory_branch_usage_ratio_vs_baseline,delta_neural_branch_usage_ratio_vs_baseline,delta_episode_lower_tail_return_0_10_vs_baseline,delta_fragmentation_rate_vs_baseline,delta_aliasing_rate_vs_baseline,delta_effective_latency_mean_vs_baseline,delta_localization_dropout_rate_vs_baseline,delta_range_dropout_rate_vs_baseline,delta_camera_dropout_rate_vs_baseline,delta_target_visibility_rate_vs_baseline
no_noise_no_delay_no_dropout,dqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_noise_no_delay_no_dropout,selected_approximate_support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_noise_no_delay_no_dropout,sensorized_controller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,dqn,0.0,0.0,0.0,0.0326127072999952,0.0,0.0,0.0,0.0,0.0011506889015433508,0.05668016194331982,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,fuzzy_relative_reliability,0.0,0.0,0.0,0.0326127072999952,0.0,-0.15625,0.0,0.0,0.0011506889015433508,0.05112474437627812,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,selected_approximate_support,0.0,0.0,0.0,0.032612707596854265,0.0,0.0,-0.008004713136228303,0.008004713136228248,0.0011506889015433508,0.039408866995073843,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,sensorized_controller,0.0,0.0,0.0,0.03261270728544327,0.0,0.0,0.0,0.0,0.016770526496693194,0.04608788853161838,0.0,0.0,0.0,0.0,0.0,0.0
latency_only,dqn,0.0,0.0,0.0,0.0037356212895019373,0.0,0.0,0.0,0.0,-0.0005604173429314407,-0.008976403713245817,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
latency_only,fuzzy_relative_reliability,0.0,0.0,0.0,0.0037356212895019373,0.0,0.012500000000000011,0.0,0.0,-0.0005604173429314407,-0.014531821280287516,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
latency_only,selected_approximate_support,0.0,0.0,0.0,0.003650875336984375,0.0,0.0,0.010387097051889227,-0.010387097051889171,-0.0005604173429314407,-0.02278264337017788,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
latency_only,sensorized_controller,0.0,0.0,0.0,0.004335235453981963,0.0,0.0,0.0,0.0,0.019171052752062767,-0.014179968611238714,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
localization_dropout_only,dqn,0.0,0.0,0.0,0.00010272857143717444,0.0,0.0,0.0,0.0,0.005311170294880929,0.01245905641568168,0.0,0.0008333333333333306,0.04375,0.0,0.0,0.0
localization_dropout_only,fuzzy_relative_reliability,0.0,0.0,0.0,0.00010272857143717444,0.0,0.0,0.0,0.0,0.005311170294880929,0.006903638848639981,0.0,0.0008333333333333306,0.04375,0.0,0.0,0.0
localization_dropout_only,selected_approximate_support,0.0,0.0,0.0,9.1992228772128e-05,0.0,0.0,-0.008134800790922658,0.008134800790922658,0.005311170294880929,0.010618080046897238,0.0,0.0008333333333333306,0.04375,0.0,0.0,0.0
localization_dropout_only,sensorized_controller,0.0,0.0,0.0,0.00010330230361431291,0.0,0.0,0.0,0.0,0.0,0.003169433595996085,0.0,0.0008333333333333306,0.04375,0.0,0.0,0.0
range_dropout_only,dqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018253982644527822,0.02738723265039056,0.0,0.0,0.0,0.19375,0.0,0.0
range_dropout_only,fuzzy_relative_reliability,0.0,0.0,0.0,0.0,0.0,-0.01874999999999999,0.0,0.0,0.018253982644527822,0.02183181508334886,0.0,0.0,0.0,0.19375,0.0,0.0
range_dropout_only,selected_approximate_support,0.0,0.0,0.0,0.0,0.0,0.0,-0.024705904932683764,0.02470590493268382,0.018253982644527822,0.017293482379689196,0.0,0.0,0.0,0.19375,0.0,0.0
