condition,agent,seed,phase,similar_latent_pair_count,different_exact_key_pair_count,fragmentation_rate,latent_similarity_radius,status_x,reason_if_unavailable_x,similar_observation_pair_count,materially_different_latent_pair_count,different_optimal_label_pair_count,aliased_pair_count,aliasing_rate,observation_similarity_radius,material_latent_distance,status_y,reason_if_unavailable_y,trace_row_count,effective_latency_mean,localization_dropout_rate,range_dropout_rate,camera_dropout_rate,target_visibility_rate
localization_dropout_only,selected_approximate_support,15002,eval,547,534,0.9762340036563071,0.1,available,,561,0,0,0,0.0,0.15,0.3,available,,80,0.0010416666666666636,0.05,0.0,0.0,1.0
localization_dropout_only,selected_approximate_support,15003,eval,495,478,0.9656565656565657,0.1,available,,409,0,0,0,0.0,0.15,0.3,available,,80,0.0006249999999999975,0.0375,0.0,0.0,1.0
localization_dropout_only,sensorized_controller,15002,eval,471,457,0.970276008492569,0.1,available,,515,0,0,0,0.0,0.15,0.3,available,,80,0.0010416666666666636,0.05,0.0,0.0,1.0
localization_dropout_only,sensorized_controller,15003,eval,461,435,0.9436008676789588,0.1,available,,363,0,0,0,0.0,0.15,0.3,available,,80,0.0006249999999999975,0.0375,0.0,0.0,1.0
no_noise_no_delay_no_dropout,dqn,15002,eval,517,487,0.941972920696325,0.1,available,,611,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,dqn,15003,eval,471,445,0.9447983014861996,0.1,available,,428,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,15002,eval,507,483,0.9526627218934911,0.1,available,,604,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,15003,eval,471,445,0.9447983014861996,0.1,available,,428,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,selected_approximate_support,15002,eval,536,519,0.9682835820895522,0.1,available,,628,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,selected_approximate_support,15003,eval,479,456,0.9519832985386222,0.1,available,,441,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,sensorized_controller,15002,eval,471,454,0.9639065817409767,0.1,available,,588,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
no_noise_no_delay_no_dropout,sensorized_controller,15003,eval,462,436,0.9437229437229437,0.1,available,,385,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,dqn,15002,eval,517,517,1.0,0.1,available,,25,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,dqn,15003,eval,486,486,1.0,0.1,available,,43,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,fuzzy_relative_reliability,15002,eval,517,517,1.0,0.1,available,,25,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,fuzzy_relative_reliability,15003,eval,486,486,1.0,0.1,available,,43,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,selected_approximate_support,15002,eval,533,533,1.0,0.1,available,,33,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,selected_approximate_support,15003,eval,520,520,1.0,0.1,available,,47,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,sensorized_controller,15002,eval,401,401,1.0,0.1,available,,22,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
noise_only,sensorized_controller,15003,eval,435,435,1.0,0.1,available,,35,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,1.0
range_dropout_only,dqn,15002,eval,501,485,0.9680638722554891,0.1,available,,430,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.1625,0.0,1.0
range_dropout_only,dqn,15003,eval,489,476,0.9734151329243353,0.1,available,,268,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.225,0.0,1.0
range_dropout_only,fuzzy_relative_reliability,15002,eval,501,485,0.9680638722554891,0.1,available,,430,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.1625,0.0,1.0
range_dropout_only,fuzzy_relative_reliability,15003,eval,489,476,0.9734151329243353,0.1,available,,268,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.225,0.0,1.0
range_dropout_only,selected_approximate_support,15002,eval,541,529,0.977818853974122,0.1,available,,437,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.1625,0.0,1.0
range_dropout_only,selected_approximate_support,15003,eval,499,488,0.9779559118236473,0.1,available,,292,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.225,0.0,1.0
range_dropout_only,sensorized_controller,15002,eval,471,458,0.9723991507430998,0.1,available,,407,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.1625,0.0,1.0
range_dropout_only,sensorized_controller,15003,eval,462,447,0.9675324675324676,0.1,available,,237,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.225,0.0,1.0
visibility_occlusion_only,dqn,15002,eval,502,479,0.954183266932271,0.1,available,,561,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.0375
visibility_occlusion_only,dqn,15003,eval,472,451,0.9555084745762712,0.1,available,,365,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.6
visibility_occlusion_only,fuzzy_relative_reliability,15002,eval,502,479,0.954183266932271,0.1,available,,561,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.0375
visibility_occlusion_only,fuzzy_relative_reliability,15003,eval,472,451,0.9555084745762712,0.1,available,,365,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.6
visibility_occlusion_only,selected_approximate_support,15002,eval,502,479,0.954183266932271,0.1,available,,561,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.0375
visibility_occlusion_only,selected_approximate_support,15003,eval,422,395,0.9360189573459715,0.1,available,,369,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.6
visibility_occlusion_only,sensorized_controller,15002,eval,471,454,0.9639065817409767,0.1,available,,558,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.0625
visibility_occlusion_only,sensorized_controller,15003,eval,462,438,0.948051948051948,0.1,available,,330,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0,0.6125
