experiment_name,experiment,config_file,environment,environment_id,resolved_environment_id,observation_representation,agent,seed,phase,train_steps,eval_checkpoint,eval_return,checkpoint,episode,return,length,success,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,elapsed_seconds,training_elapsed_seconds,evaluation_elapsed_seconds,wall_clock_training_time,wall_clock_evaluation_time,git_commit_hash,package_version,source_snapshot_sha256,execution_inputs_clean,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,support_status,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,selected_branch,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,estimator_support_score,support_neighbor_count,support_nearest_distance,support_effective_sample_mass,support_density_log_score,support_estimator_type,support_representation_type,support_index_type,support_query_latency,support_memory_bytes,embedding_snapshot_hash,embedding_freeze_step,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,tabular_greedy_action,neural_greedy_action,mixed_selected_action,optimal_action,tabular_action_correct,neural_action_correct,relative_reliability_score,predicted_better_branch,actually_better_branch,actually_better_branch_value,tabular_q_error,neural_q_error,post_shift,shift_region,steps_since_shift
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,train,20,,,20,1,-0.9650195746589452,20,0.0,20,0,nan,nan,0,0,2,0.23024370000348426,0.23024370000348426,0.0,0.23024370000348426,0.0,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.25,nan,nan,unsupported,82.7,30.9,none,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.2,1.0,0.0,,,,,,,,,,,,,,,
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,eval,40,40,-0.9287961330823602,40,1,-0.9287961330823602,20,0.0,40,3,0.011677795400222143,0.014217385090887547,0,1,2,0.9492808999784756,0.41652489997795783,0.5327560000005178,0.41652489997795783,0.5327560000005178,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,1003.8499999999998,966.45,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.3,1.0,0.0,nan,nan,7,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,eval,40,40,-1.168503694087267,40,2,-1.168503694087267,20,0.0,40,3,0.011677795400222143,0.014217385090887547,0,1,2,0.9494794999773148,0.41672349997679703,0.5327560000005178,0.41672349997679703,0.5327560000005178,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,1134.3899999999999,1150.65,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.3,1.0,0.0,nan,nan,0,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,train,40,,,40,2,-0.9588260003738105,20,0.0,40,3,0.011677795400222143,0.014217385090887547,0,1,2,0.9547486999945249,0.4219926999940071,0.5327560000005178,0.4219926999940071,0.5327560000005178,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.05,-0.0025000000000000005,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,453.625,39.900000000000006,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.15,1.0,0.0,,,,,,,,,,,,,,,
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,train,60,,,60,3,-1.1055717716412619,20,0.0,60,8,0.008818335423711687,0.014217385090887547,0,1,2,1.160899199981941,0.6281431999814231,0.5327560000005178,0.6281431999814231,0.5327560000005178,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,0.75,0.0,1.0,0.0,nan,nan,0.0,nan,0.25,0.25,nan,1.0,nan,nan,unsupported,560.065,768.9,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.15,1.0,0.0,,,,,,,,,,,,,,,
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,eval,80,80,-1.1844252278096976,80,1,-1.1844252278096976,20,0.0,80,13,0.008079209938072242,0.014217385090887547,0,2,2,1.920380399998976,0.8278418999980204,1.0925385000009555,0.8278418999980204,1.0925385000009555,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,1022.47,1009.45,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.15,1.0,0.0,nan,nan,0,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,eval,80,80,-1.1077790099382403,80,2,-1.1077790099382403,20,0.0,80,13,0.008079209938072242,0.014217385090887547,0,2,2,1.9205737999873236,0.828035299986368,1.0925385000009555,0.828035299986368,1.0925385000009555,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,872.6700000000001,857.75,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.15,1.0,0.0,nan,nan,0,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,dqn,15003,train,80,,,80,4,-0.3322195572219788,20,0.0,80,13,0.008079209938072242,0.014217385090887547,0,2,2,1.9219018000003416,0.8293632999993861,1.0925385000009555,0.8293632999993861,1.0925385000009555,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,0.15,0.0,0.0,0.8,0.0,1.0,0.0,nan,nan,0.0,nan,0.2,0.2,nan,1.0,nan,nan,unsupported,724.865,794.9000000000001,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.1,1.0,0.0,,,,,,,,,,,,,,,
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,fuzzy_relative_reliability,15002,train,20,,,20,1,-1.0151569248735903,20,0.0,20,0,nan,nan,0,0,2,0.2630615000089165,0.2630615000089165,0.0,0.2630615000089165,0.0,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,0.0,0.0,0.3601519,0.3700770644033142,17.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8536100769014862,0.0,0.0,0.0,0.5,10.0,1.0,support-boundary collapse,131.62499999999997,49.15,neural,17.0,459.0,3468.0,0.0,0,nan,0.0,nan,exact_count,raw_state,none,3.81e-05,1632,,,0.0,0.2,1.0,0.0,,,,,,,,,,,,,,,
reviewer1_sensor_factorial_development,reviewer1_sensor_factorial_development,configs/reviewer1_remaining/sensor_factorial_development/matched_conditions.yaml,range_dropout_only,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,fuzzy_relative_reliability,15002,eval,40,40,-1.1141097559873014,40,1,-1.1141097559873014,20,0.0,40,3,0.005711098589623968,0.0068928515538573265,0,1,2,1.099393600015901,0.4833556000085082,0.6160380000073928,0.4833556000085082,0.6160380000073928,a6856e5cafc085e89cbbb2e0fc8a8770c40029c1,1.8.0,dd539897a18ce6d787567c0969bf760cf4c6c2d331693676b7eab3ef6b71fe9b,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,0.06449908287619298,0.0,0.1307923,0.13916965922511118,32.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9708144089226227,0.0,0.0,0.0,1.0,20.0,1.0,support-boundary collapse,1806.4,1829.1,neural,32.0,864.0,6528.0,0.0,0,nan,0.0,nan,exact_count,raw_state,none,2.58e-05,3072,,,0.0,0.3,1.0,0.0,nan,nan,6,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
