environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
FrozenLake-v1,success_rate,dqn_lr1e3_h64_w512,dqn_lr3e4_h128_t1000,5,0.059999999999999984,0.05,-0.09,0.21000000000000002,0.3129843185743806,0.3333333333333333,0.5225820763952056,0.625,1.0,3,2,0,0.1898487646681338,-2.1671525753158427,0,0,0.6,1.0,1.0,1.0
FrozenLake-v1,success_rate,dqn_lr1e3_h64_w512,dqn_lr3e4_h64,5,-0.05,-0.050000000000000044,-0.2,0.10999999999999999,-0.24618298195866548,-0.4,0.6112854308932069,0.625,0.625,1,3,1,0.5222063253668663,0.8980716253443561,0,0,0.25,1.0,1.0,1.0
FrozenLake-v1,success_rate,dqn_lr1e3_h64_w512,selected_dqn,5,-0.020000000000000007,0.0,-0.18,0.13999999999999999,-0.09907548092361403,-0.4,0.8355226859977891,0.625,1.0,2,2,1,-0.1230845698590909,-2.711054236139862,0,0,0.5,1.0,1.0,1.0
FrozenLake-v1,success_rate,dqn_lr3e4_h128_t1000,dqn_lr3e4_h64,5,-0.11000000000000001,-0.15,-0.25,0.029999999999999992,-0.5943775496541293,-0.6,0.25456689849199376,0.3125,1.0,2,3,0,-0.0828263340593015,-1.6212904257019538,0,0,0.4,1.0,1.0,1.0
FrozenLake-v1,success_rate,dqn_lr3e4_h128_t1000,selected_dqn,5,-0.08,-0.09999999999999999,-0.1,-0.06,-2.921186973360886,-1.0,0.0028378459267344473,0.0625,0.0625,0,5,0,0.6085806194501839,-3.3333333333333344,0,0,0.0,0.028378459267344475,0.625,0.625
FrozenLake-v1,success_rate,dqn_lr3e4_h64,selected_dqn,5,0.029999999999999992,0.04999999999999999,-0.11000000000000001,0.16999999999999998,0.1645225491321245,0.2,0.7316000830813217,0.8125,1.0,3,2,0,-0.13607128123709558,-1.6298264458137823,0,0,0.6,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h128_t1000,dqn_lr1e3_h64_w512,5,-0.0012500000000000011,0.04375,-0.09125000000000001,0.06625,-0.01155278322022304,0.2,0.980628086682102,0.75,1.0,3,2,0,-1.5174736878455117,2.6077428780131484,0,0,0.6,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h128_t1000,dqn_lr3e4_h128_t1000,5,0.039999999999999994,0.03749999999999999,-0.02000000000000001,0.10625,0.48338037683079044,0.4666666666666667,0.34056842992095304,0.4375,1.0,3,2,0,0.6840190800204674,0.08785200433842144,0,0,0.6,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h128_t1000,dqn_lr3e4_h64,5,-0.057499999999999975,-0.10624999999999998,-0.13624999999999995,0.024999999999999994,-0.5354632267566766,-0.6,0.29728038171962856,0.3125,1.0,2,3,0,0.37210577495650554,-1.7695939916716235,0,0,0.4,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h128_t1000,selected_dqn,5,0.03,0.049999999999999996,-0.0325,0.0875,0.3897161890097317,0.4,0.43269872936521514,0.5,1.0,3,2,0,-0.18796463082319556,-1.3038040854495017,0,0,0.6,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h64_w512,dqn_lr3e4_h128_t1000,5,0.041249999999999995,0.025,-0.05875000000000001,0.13999999999999999,0.30812875624842506,0.4666666666666667,0.5287084096283015,0.4375,1.0,3,2,0,-0.509101140123939,-0.6868102528942885,0,0,0.6,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h64_w512,dqn_lr3e4_h64,5,-0.05624999999999998,-0.075,-0.16499999999999995,0.052500000000000005,-0.40451991747794525,-0.3333333333333333,0.4168655304065089,0.625,1.0,2,3,0,-6.720648354709815e-17,-2.345454545454544,0,0,0.4,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr1e3_h64_w512,selected_dqn,5,0.03125,0.025,-0.05124999999999998,0.10625,0.30151134457776363,0.4666666666666667,0.5371404478061659,0.4375,0.375,4,1,0,-0.783929495902185,0.3134545454545452,0,0,0.8,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr3e4_h128_t1000,dqn_lr3e4_h64,5,-0.09749999999999996,-0.0875,-0.18499999999999994,8.396061623726737e-18,-0.8276124106607895,-0.8666666666666667,0.13789396239483012,0.125,0.375,1,4,0,0.3803981787509707,1.2858535803258784,0,0,0.2,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr3e4_h128_t1000,selected_dqn,5,-0.009999999999999995,0.0,-0.034999999999999996,0.015000000000000013,-0.3090669637145021,-0.4,0.5275206451698227,0.625,1.0,2,2,1,-0.363269005858463,-2.4125640454444195,0,0,0.5,1.0,1.0,1.0
FrozenLake-v1,return_auc,dqn_lr3e4_h64,selected_dqn,5,0.0875,0.04375,0.0037500000000000007,0.17124999999999996,0.7499402176078124,0.6,0.1688645960964524,0.3125,0.375,4,1,0,0.47418847536792297,-0.6682091109880659,0,0,0.8,1.0,1.0,1.0
