agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gated_tau_20,return_auc,6,3.75,3.5,2.0,6.0
fixed_hybrid,return_auc,6,5.25,5.25,4.0,6.0
random,return_auc,6,2.9166666666666665,2.25,1.0,6.0
reliability_gated,return_auc,6,5.166666666666667,5.25,4.0,6.5
support_abstain_tau_20,return_auc,6,2.8333333333333335,3.0,1.0,4.0
tabular,return_auc,6,1.5833333333333333,1.75,1.0,2.0
validated_dqn,return_auc,6,6.5,6.75,5.5,7.0
count_gated_tau_20,success_rate_auc,6,4.083333333333333,4.0,2.0,6.0
fixed_hybrid,success_rate_auc,6,5.416666666666667,5.25,5.0,6.0
random,success_rate_auc,6,2.1666666666666665,1.5,1.0,6.0
reliability_gated,success_rate_auc,6,5.166666666666667,5.25,4.0,6.5
support_abstain_tau_20,success_rate_auc,6,3.0,3.0,2.0,4.0
tabular,success_rate_auc,6,1.6666666666666667,1.5,1.0,3.0
validated_dqn,success_rate_auc,6,6.5,6.75,5.5,7.0
count_gated_tau_20,mean_return,6,3.9166666666666665,4.25,2.0,5.5
fixed_hybrid,mean_return,6,5.0,5.25,3.0,6.5
random,mean_return,6,2.9166666666666665,2.0,1.0,6.0
reliability_gated,mean_return,6,5.0,5.25,3.0,6.0
support_abstain_tau_20,mean_return,6,4.0,3.75,3.0,5.5
tabular,mean_return,6,1.25,1.0,1.0,2.0
validated_dqn,mean_return,6,5.916666666666667,5.75,5.0,7.0
