environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version
MiniGrid-DoorKey-5x5,fixed_hybrid,500,30000,0.0,0.0,250.0,162.01368290000028,30000,1844,77.65898380000363,84.35469909999665,0.5,0.0,1.0,1.0,222.0,30000,0.0,30000,2.588632793333454,0.0064266666666666665,0.006666666666666666,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,501,30000,0.16198666666666664,0.16666666666666666,209.63333333333333,157.99022929999774,30000,1844,77.68642249999539,80.30380680000235,0.5,0.0,1.0,1.0,219.0,30000,0.16198666666666664,30000,2.589547416666513,0.02269733333333333,0.02333333333333333,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,502,30000,0.0,0.0,250.0,173.54779030000282,30000,1844,107.48045870000352,66.0673315999993,0.5,0.0,1.0,1.0,210.0,30000,0.0,30000,3.582681956666784,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,503,30000,0.0,0.0,250.0,138.9261716999972,30000,1844,69.83867690000261,69.0874947999946,0.5,0.0,1.0,1.0,220.0,30000,0.0,30000,2.3279558966667535,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,504,30000,0.0,0.0,250.0,174.0008147999979,30000,1844,92.8873860000058,81.1134287999921,0.5,0.0,1.0,1.0,219.0,30000,0.0,30000,3.0962462000001936,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,505,30000,0.0,0.0,250.0,183.0817766,30000,1844,90.38840979999804,92.69336680000195,0.5,0.0,1.0,1.0,256.0,30000,0.0,30000,3.012946993333268,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,506,30000,0.0,0.0,250.0,131.18837090000306,30000,1844,75.67243010000675,55.51594079999632,0.5,0.0,1.0,1.0,274.0,30000,0.0,30000,2.5224143366668916,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,507,30000,0.0,0.0,250.0,181.75154430000111,30000,1844,107.2829468000018,74.4685974999993,0.5,0.0,1.0,1.0,231.0,30000,0.0,30000,3.5760982266667267,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,508,30000,0.0,0.0,250.0,151.422708099999,30000,1844,89.53783039999325,61.88487770000575,0.5,0.0,1.0,1.0,238.0,30000,0.0,30000,2.9845943466664417,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,fixed_hybrid,509,30000,0.3559866666666667,0.36666666666666664,161.3,160.9006276,30000,1844,90.3796437000019,70.5209838999981,0.5,0.0,1.0,1.0,193.0,30000,0.3559866666666667,30000,3.0126547900000635,0.06809199999999999,0.07,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,random,500,30000,0.016173333333333335,0.03333333333333333,246.43333333333334,53.14473270000235,30000,0,22.491154000003007,30.653578699999343,,,,,,30000,0.016173333333333335,30000,0.7497051333334336,0.034986666666666666,0.09666666666666668,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,random,501,30000,0.05092,0.1,238.63333333333333,63.22207909999997,30000,0,27.34161949999907,35.880459600000904,,,,,,30000,0.05092,30000,0.9113873166666356,0.04275066666666666,0.09666666666666668,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,random,502,30000,0.04923999999999999,0.1,239.1,58.90155360000063,30000,0,25.18279409999741,33.718759500003216,,,,,,30000,0.04923999999999999,30000,0.8394264699999137,0.030589333333333333,0.07333333333333333,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,random,503,30000,0.07477333333333333,0.13333333333333333,232.93333333333334,61.511111199997686,30000,0,29.03489759999502,32.476213600002666,,,,,,30000,0.07477333333333333,30000,0.967829919999834,0.036506666666666666,0.08666666666666666,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
