environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high
ApplicationNavigation-deployment-goal-shift,double_dqn,mean_return,30,-3.4335777777777783,2.2059365600054863,-2.782666666666666,-3.320583333333334,-2.5298333333333343,-4.25728802658288,-2.6098675289726767,-4.29770888888889,-2.776449166666668
ApplicationNavigation-deployment-goal-shift,double_dqn,success_rate,30,0.06777777777777776,0.06032055706048183,0.0666666666666666,0.0333333333333333,0.1,0.045253711598726695,0.09030184395682882,0.047777777777777745,0.08999999999999998
ApplicationNavigation-deployment-goal-shift,double_dqn,return_auc,30,-3.7628100000000004,0.9040144940921772,-3.5549000000000013,-4.281358333333333,-3.0483416666666674,-4.1003745598122885,-3.4252454401877124,-4.091725111111112,-3.4609813888888894
ApplicationNavigation-deployment-goal-shift,double_dqn,success_rate_auc,30,0.05188888888888886,0.021311111510633276,0.0483333333333333,0.0333333333333333,0.0633333333333333,0.043931189069682214,0.059846588708095505,0.044555555555555536,0.05944444444444441
ApplicationNavigation-deployment-goal-shift,double_dqn,seconds_per_1000_steps,30,0.6234081891667301,0.024878562727062393,0.6139932666671182,0.6065811041668592,0.6208090645838334,0.6141183811707237,0.6326979971627366,0.615291267875111,0.6326840123474414
ApplicationNavigation-deployment-goal-shift,double_dqn,gradient_updates,30,719.0,0.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0
ApplicationNavigation-deployment-goal-shift,double_dqn,failure_rate,30,0.9322222222222223,0.06032055706048184,0.9333333333333332,0.9,0.9666666666666668,0.9096981560431712,0.9547462884012734,0.9099999999999999,0.9522222222222223
ApplicationNavigation-deployment-goal-shift,double_dqn,collision_rate,30,0.04146633014347006,0.07960222899457968,0.009125207296849,0.0072222222222222,0.04394371345029233,0.01174236933727044,0.07119029094966968,0.017706416006967922,0.07319065324738432
ApplicationNavigation-deployment-goal-shift,double_dqn,risk_zone_rate,30,0.036531997315270584,0.023027110676945683,0.0310871647509578,0.0205555555555555,0.0486805555555555,0.0279335328766911,0.04513046175385007,0.02879296293581179,0.04473566195299079
ApplicationNavigation-deployment-goal-shift,double_dqn,idle_rate,30,0.8849451248443906,0.11295320201839942,0.9380555555555556,0.8612613617836472,0.9567019230769231,0.8427677060442428,0.9271225436445384,0.8421671080108808,0.9204307433444209
ApplicationNavigation-deployment-goal-shift,double_dqn,risk_adjusted_score,30,-0.06218306485013135,0.09484807462473133,-0.05456899641577055,-0.10524305555555548,-0.03366614696836208,-0.09759991797469625,-0.026766211725566445,-0.09652615246230425,-0.029732358375038397
ApplicationNavigation-deployment-goal-shift,double_dqn,unsupported_state_ratio,30,0.3936434494195688,0.09738233676605615,0.4,0.30833333333333335,0.47500000000000003,0.35728028725927946,0.43000661157985814,0.35974074074074075,0.42791803482587065
ApplicationNavigation-deployment-goal-shift,double_dqn,memory_branch_usage_ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationNavigation-deployment-goal-shift,double_dqn,neural_branch_usage_ratio,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,double_dqn,abstention_ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationNavigation-deployment-goal-shift,double_dqn,support_score_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationNavigation-deployment-goal-shift,double_dqn,inference_time_us_per_decision_mean,30,398.5159384875293,17.792794226307283,399.07118749999995,388.01869444444446,411.8941392990075,391.8719999333521,405.1598770417065,392.2066055176716,404.5259700973236
ApplicationNavigation-deployment-goal-shift,double_dqn,inference_time_us_per_decision_median,30,355.5583333333334,6.374857447132788,354.8,350.975,357.5875,353.1779224416159,357.93874422505087,353.4474791666666,357.8683333333333
ApplicationNavigation-deployment-goal-shift,double_dqn,memory_cost_states,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationNavigation-deployment-goal-shift,double_dqn,memory_cost_entries,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationNavigation-deployment-goal-shift,double_dqn,memory_cost_bytes_estimated,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,mean_return,30,-3.8280777777777777,1.9420407003625382,-3.004833333333333,-3.859500000000001,-2.669166666666668,-4.553247693127148,-3.1029078624284074,-4.576770555555554,-3.209630277777778
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,success_rate,30,0.06999999999999998,0.061494789985837815,0.0666666666666666,0.0333333333333333,0.1,0.04703746804063758,0.09296253195936238,0.04999999999999997,0.09222222222222219
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,return_auc,30,-4.099567777777778,0.9760126212394212,-3.8125000000000004,-4.631399999999999,-3.3929083333333327,-4.464016880101937,-3.7351186754536188,-4.457362111111111,-3.7746522500000004
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,success_rate_auc,30,0.06477777777777774,0.029642613694065192,0.0583333333333333,0.0466666666666666,0.07916666666666665,0.0537090439148641,0.07584651164069138,0.054774999999999956,0.07533333333333328
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,seconds_per_1000_steps,30,0.753210904166776,0.02451288703500383,0.74973017916606,0.7373658125002294,0.7570491104162708,0.7440576417182475,0.7623641666153046,0.7448963920416969,0.7621473809584981
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,gradient_updates,30,719.0,0.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,failure_rate,30,0.93,0.06149478998583781,0.9333333333333332,0.9,0.9666666666666668,0.9070374680406377,0.9529625319593624,0.9077777777777777,0.95
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,collision_rate,30,0.055087279817848014,0.08117356070473043,0.0104166666666666,0.006851851851851776,0.06743673493408654,0.024776574108195507,0.08539798552750053,0.02929005530412441,0.08586205739248215
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,risk_zone_rate,30,0.04074050799029785,0.015752208073330685,0.043611111111111045,0.03402777777777775,0.05001558956916095,0.034858536828225685,0.04662247915237002,0.03510219565778911,0.04617781451896993
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,idle_rate,30,0.8602543916424904,0.1392051149028411,0.9096545584045583,0.8042222868111646,0.9561784841055064,0.8082743474696531,0.9122344358153277,0.8084674879231931,0.9047131309477475
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,risk_adjusted_score,30,-0.07111271898209706,0.05838874565584998,-0.06871250548967936,-0.10338194444444435,-0.0367547566653909,-0.0929154349275993,-0.04931000303659482,-0.09286015776049396,-0.052245859748671374
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,unsupported_state_ratio,30,0.3924418033290337,0.09718797208926587,0.4,0.30833333333333335,0.4666666666666667,0.35615121813182693,0.4287323885262405,0.358888888888889,0.42706467661691544
ApplicationNavigation-deployment-goal-shift,dueling_double_dqn,memory_branch_usage_ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
