environment,agent,metric,n_seeds,minimum,maximum,median,mad,skew,excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,heavy_tail_flag
CliffWalking-v1,support_abstain_tau_20,return_auc,30,-439.125,-197.625,-439.125,0.0,1.204812009351238,0.566056708971594,0,0,False
CliffWalking-v1,support_abstain_tau_20,mean_return,30,-13.0,-13.0,-13.0,0.0,0.0,0.0,0,0,False
FourRooms-7-unseen-goals,support_abstain_tau_20,return_auc,30,-0.6818333333333341,-0.3234444444444449,-0.5336944444444451,0.07016666666666668,0.325069285987829,-0.34903533078032867,0,0,False
FourRooms-7-unseen-goals,support_abstain_tau_20,mean_return,30,-0.7363333333333341,-0.3276666666666673,-0.5415000000000006,0.11816666666666664,-0.004772137166717516,-1.4327344678976839,0,0,False
FourRooms-9-slip-unseen-goals,support_abstain_tau_20,return_auc,30,-1.2645000000000006,-0.9247666666666673,-1.076000000000001,0.04218333333333313,0.1379771808074404,0.6873289952355521,0,0,False
FourRooms-9-slip-unseen-goals,support_abstain_tau_20,mean_return,30,-1.3690000000000007,-0.6193333333333341,-1.0666666666666673,0.1341666666666665,0.21900158200816433,-0.29730207159715283,0,0,False
FrozenLake-v1,support_abstain_tau_20,return_auc,30,0.32083333333333325,0.65,0.5166666666666666,0.050000000000000044,-0.6950494789820593,0.3205891380033954,0,0,False
FrozenLake-v1,support_abstain_tau_20,mean_return,30,0.3333333333333333,0.9,0.6833333333333333,0.10000000000000003,-0.4291664779347111,-0.14189149525687972,0,0,False
