agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gated_tau_20,return_auc,1,4.0,4.0,4.0,4.0
fixed_hybrid,return_auc,1,5.0,5.0,5.0,5.0
fuzzy_support_adaptive,return_auc,1,3.0,3.0,3.0,3.0
support_abstain_tau_20,return_auc,1,1.0,1.0,1.0,1.0
tabular,return_auc,1,2.0,2.0,2.0,2.0
validated_dqn,return_auc,1,6.0,6.0,6.0,6.0
count_gated_tau_20,success_rate_auc,1,2.0,2.0,2.0,2.0
fixed_hybrid,success_rate_auc,1,5.0,5.0,5.0,5.0
fuzzy_support_adaptive,success_rate_auc,1,3.0,3.0,3.0,3.0
support_abstain_tau_20,success_rate_auc,1,4.0,4.0,4.0,4.0
tabular,success_rate_auc,1,1.0,1.0,1.0,1.0
validated_dqn,success_rate_auc,1,6.0,6.0,6.0,6.0
count_gated_tau_20,mean_return,1,4.0,4.0,4.0,4.0
fixed_hybrid,mean_return,1,5.0,5.0,5.0,5.0
fuzzy_support_adaptive,mean_return,1,6.0,6.0,6.0,6.0
support_abstain_tau_20,mean_return,1,2.0,2.0,2.0,2.0
tabular,mean_return,1,1.0,1.0,1.0,1.0
validated_dqn,mean_return,1,3.0,3.0,3.0,3.0
