result_family,environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p,analysis_status
dqn_strong_validation,CliffWalking-v1,return_auc,validated_dqn,original_selected_dqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,validated_vs_original_dqn,1.0,1.0,1.0,independent_validation_after_development_selection
dqn_strong_validation,FourRooms-11-slip-unseen-goals,return_auc,validated_dqn,original_selected_dqn,30,0.052578806584362,0.0146790123456792,-0.0280906635802468,0.1359416255144029,0.2251391210076136,0.1913978494623656,0.2274269463049187,0.370740607380867,0.8555355519056321,16,14,0,0.3150105491458736,-0.6051227193170403,0,0,0.5333333333333333,validated_vs_original_dqn,0.9097077852196748,1.0,1.0,independent_validation_after_development_selection
dqn_strong_validation,FourRooms-7-unseen-goals,return_auc,validated_dqn,original_selected_dqn,30,0.0382550505050505,0.0181060606060609,-0.0086855934343434,0.0857255176767677,0.2818459984499423,0.2731182795698925,0.1334961739572837,0.1980757992714643,0.3615946080535651,18,12,0,0.2235020392691032,-0.2659348069497129,0,0,0.6,validated_vs_original_dqn,0.6674808697864185,1.0,1.0,independent_validation_after_development_selection
dqn_strong_validation,FourRooms-9-slip-unseen-goals,return_auc,validated_dqn,original_selected_dqn,30,0.0085251461988302,0.005793859649122,-0.0538766520467838,0.071574692982456,0.0480363285962381,0.0236559139784946,0.7943293897524202,0.9192965272814037,0.8555355519056321,16,14,0,0.3956279433943661,0.3047981661023127,0,0,0.5333333333333333,validated_vs_original_dqn,1.0,1.0,1.0,independent_validation_after_development_selection
dqn_strong_validation,FrozenLake-4x4-slippery,return_auc,validated_dqn,original_selected_dqn,30,0.0714814814814814,0.0555555555555555,0.0109212962962962,0.1312962962962962,0.4194685027844105,0.4505747126436781,0.028996290456985,0.0340737731267872,0.0614283457398414,20,9,1,-0.2899078582313284,-0.6866573061363801,0,0,0.6896551724137931,validated_vs_original_dqn,0.2319703236558803,0.2725901850142977,0.4914267659187317,independent_validation_after_development_selection
dqn_strong_validation,FrozenLake-8x8-slippery,return_auc,validated_dqn,original_selected_dqn,30,0.0109523809523809,0.0035714285714285,0.0021428571428571,0.0207142857142857,0.4105202300461713,0.4615384615384615,0.0323120642059782,0.0434372523036658,0.2295229434967041,16,9,5,1.126644048197481,1.8962836562730736,0,0,0.64,validated_vs_original_dqn,0.2319703236558803,0.3040607661256609,1.0,independent_validation_after_development_selection
dqn_strong_validation,MiniGrid-Empty-5x5-validation,return_auc,validated_dqn,original_selected_dqn,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,10,0.0,0.0,0,0,0.5,validated_vs_original_dqn,1.0,1.0,1.0,independent_validation_after_development_selection
dqn_strong_validation,Taxi-v3-compatible,return_auc,validated_dqn,original_selected_dqn,30,-16.272857142857145,0.0,-35.977875000000004,1.002874999999998,-0.3061428446983175,-0.5357142857142857,0.1043277846897259,0.2040841777655732,0.125,1,6,23,-0.6505766884272731,2.262837917170393,0,0,0.1428571428571428,validated_vs_original_dqn,0.6259667081383555,1.0,0.875,independent_validation_after_development_selection
confirmatory_extended_compact,CliffWalking-v1,return_auc,count_gated_tau_20,validated_dqn,30,143.3277777777778,81.16666666666669,113.61111111111111,173.08888888888893,1.699563477252061,1.0,3.2656346575050757e-10,1.312743262007031e-06,3.725290298461914e-09,29,0,1,0.3064451786031602,-1.763826809787551,0,0,1.0,count_vs_validated_dqn,6.5312693150101514e-09,2.625486524014062e-05,7.450580596923828e-08,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,0.0646652263374485,0.0761574074074074,0.0117632664609052,0.1167823508230455,0.4360910526548657,0.4365591397849462,0.0236434256100534,0.0364349968731403,0.098737146705389,20,10,0,-0.0479868507380515,-0.2183305938341591,0,0,0.6666666666666666,count_vs_validated_dqn,0.3546513841508014,0.5100899562239647,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,-0.0193444444444444,-0.0313257575757576,-0.0515536363636363,0.0144419696969697,-0.2029359710865218,-0.2731182795698925,0.2754724513556493,0.1980757992714643,0.3615946080535651,12,18,0,0.7004396750893422,0.6163589992243037,0,0,0.4,count_vs_validated_dqn,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,0.037901461988304,0.0472149122807021,-0.0172280774853801,0.0907453216374268,0.2479223077837013,0.3290322580645161,0.1849593956996742,0.1190765686333179,0.3615946080535651,18,12,0,-0.4417450221506551,0.7525991414663453,0,0,0.6,count_vs_validated_dqn,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-4x4-slippery,return_auc,count_gated_tau_20,validated_dqn,30,0.3164814814814815,0.3333333333333333,0.2675879629629629,0.3653703703703704,2.2725333565226937,1.0,3.705967173896012e-13,1.7311263949197286e-06,1.862645149230957e-09,30,0,0,-0.4354653360053163,-0.4856471767965766,0,0,1.0,count_vs_validated_dqn,7.782531065181626e-12,3.289140150347484e-05,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-8x8-slippery,return_auc,count_gated_tau_20,validated_dqn,30,0.027063492063492,0.0083333333333333,0.014125,0.0413492063492063,0.6925069518611172,0.8181818181818182,0.0006996715118516,0.0007763817259723,0.0169005393981933,17,5,8,1.1654609026024352,0.0567652195437764,0,3,0.7727272727272727,count_vs_validated_dqn,0.01259408721333,0.0139748710675017,0.2704086303710937,confirmatory_task_expansion
confirmatory_extended_compact,Taxi-v3-compatible,return_auc,count_gated_tau_20,validated_dqn,30,-11.885714285714284,-4.242857142857147,-23.86587500000001,-0.2649107142857151,-0.3551821502178302,-0.6608187134502924,0.0614768357087879,0.0138481388690566,0.001312255859375,2,16,12,-0.7360783682007209,2.5008633359969137,4,2,0.1111111111111111,count_vs_validated_dqn,0.860675699923032,0.2077220830358503,0.02362060546875,confirmatory_task_expansion
confirmatory_extended_compact,CliffWalking-v1,return_auc,count_gated_tau_20,tabular,30,29.690555555555548,0.0,-34.71625462962962,98.1568148148148,0.1592100097503454,0.2533333333333333,0.3903552629247797,0.2712792188694803,0.8388197422027588,13,11,6,0.7319138426452604,0.1827856447774376,0,0,0.5416666666666666,count_vs_tabular,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,tabular,30,-1.5837512345679026,-1.565302469135804,-1.6383263786008246,-1.5297963940329231,-10.353214533900507,-1.0,2.89478566117637e-31,1.862645149230957e-09,1.862645149230957e-09,0,30,0,0.0605156856991731,-0.7724549327682029,0,0,0.0,count_vs_tabular,8.105399851293836e-30,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,tabular,30,-1.148694444444445,-1.1399621212121218,-1.1974941161616166,-1.1026072727272729,-8.471804648401456,-1.0,9.13430466946308e-29,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.3427430384425537,0.0607909820348271,0,0,0.0,count_vs_tabular,2.3749192140604006e-27,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,tabular,30,-1.231175438596491,-1.239473684210526,-1.2923821564327482,-1.1685988888888887,-6.935411393277501,-1.0,2.761557297954657e-26,1.862645149230957e-09,1.862645149230957e-09,0,30,0,0.1013229496444173,-0.5412597329280056,0,0,0.0,count_vs_tabular,6.351581785295711e-25,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-4x4-slippery,return_auc,count_gated_tau_20,tabular,30,0.0307407407407407,0.0583333333333332,-0.0183379629629629,0.0772268518518518,0.2256028265700575,0.3241379310344827,0.2264949827773515,0.1273443049732007,0.1360459476709365,19,10,1,-0.6714770828329876,0.224169882370715,0,0,0.6551724137931034,count_vs_tabular,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-8x8-slippery,return_auc,count_gated_tau_20,tabular,30,0.0316666666666666,0.0119047619047619,0.0117460317460317,0.0528571428571428,0.5468129912007148,0.645320197044335,0.0055679578287901,0.0028484476850691,0.0356981381773948,20,8,2,0.614450285363041,1.002039820633236,0,0,0.7142857142857143,count_vs_tabular,0.0946552830894325,0.0484236106461761,0.535472072660923,confirmatory_task_expansion
confirmatory_extended_compact,Taxi-v3-compatible,return_auc,count_gated_tau_20,tabular,30,154.37880952380957,151.41666666666666,135.75502976190478,173.0038234126984,2.9035483964351685,1.0,7.361586573658466e-16,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.1017302208322765,0.0778626975385599,0,0,1.0,count_vs_tabular,1.6195490462048622e-14,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,CliffWalking-v1,return_auc,count_gated_tau_20,fixed_hybrid,30,109.2777777777778,1.0,34.77166666666668,199.40013888888885,0.4606027616090389,0.6676923076923077,0.01738199666136,0.0034774072645366,0.0040773153305053,20,5,5,2.2902319366010477,6.200857139443917,0,2,0.8,count_vs_fixed,0.2781119465817613,0.0556385162325861,0.0693143606185913,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,0.0305888888888888,0.0159197530864194,-0.030243755144033,0.0925376748971192,0.1749987417779265,0.1741935483870967,0.3457303674288959,0.4161298982799053,0.3615946080535651,18,12,0,0.3612607233678022,-0.4816509328498681,0,0,0.6,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,0.0017479797979797,-0.0157348484848486,-0.0315102651515152,0.0352380808080807,0.0183762325968384,-0.0150537634408602,0.9205203329396726,0.9515264742076396,0.8555355519056321,14,16,0,0.3852587167371975,-0.4165835426843509,0,0,0.4666666666666667,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,0.0044312865497075,0.0022850877192979,-0.0538989912280702,0.0588321271929824,0.0275630718623416,0.0924731182795698,0.8810453000348358,0.6701805889606476,1.0,15,15,0,-0.9061160290449868,0.5417134976913691,0,0,0.5,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-4x4-slippery,return_auc,count_gated_tau_20,fixed_hybrid,30,0.0468518518518518,0.0805555555555556,-0.0001851851851852,0.0938888888888888,0.3496416277074219,0.3870967741935484,0.0653938908688735,0.064112701562197,0.2004884220659733,19,11,0,-0.3352022381977865,-0.7242776102072535,0,0,0.6333333333333333,count_vs_fixed,0.860675699923032,0.769352418746365,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-8x8-slippery,return_auc,count_gated_tau_20,fixed_hybrid,30,0.0057142857142857,0.0,-0.0071448412698412,0.0174603174603174,0.1618942659334176,0.3438735177865613,0.3825183673574046,0.1578198894923748,0.5234670639038086,13,9,8,-0.5520901691625154,2.923698813469901,2,2,0.5909090909090909,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,Taxi-v3-compatible,return_auc,count_gated_tau_20,fixed_hybrid,30,2.8364285714285766,0.0,-0.1635714285714215,5.6914464285714335,0.3363926380913836,0.4805194805194805,0.0756480961623951,0.0536162434136643,0.1892471313476562,14,7,9,-0.4410136410317314,1.6720094233459095,0,0,0.6666666666666666,count_vs_fixed,0.907777153948742,0.6970111643776361,1.0,confirmatory_task_expansion
confirmatory_extended_compact,CliffWalking-v1,return_auc,support_abstain_tau_20,count_gated_tau_20,30,-24.916666666666668,0.0,-96.14027777777778,26.80027777777777,-0.1431728613041864,-0.219047619047619,0.4392873826472565,0.4675835353882523,0.4239501953125,5,9,16,-3.46902588737061,15.908246032157528,5,5,0.3571428571428571,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.56117510288066,1.558030864197533,1.5056402417695491,1.619581666666668,9.574694477758422,1.0,2.7350414031327164e-30,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.0992190848304455,-0.407144987728719,0,0,1.0,support_abstain_vs_count,7.384611788458334e-29,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-7-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.16434595959596,1.1568787878787885,1.115944330808081,1.215432436868687,8.186166756984678,1.0,2.437208038989397e-28,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.4181477266999575,-0.444412328662878,0,0,1.0,support_abstain_vs_count,5.849299293574554e-27,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.2425187134502922,1.1918289473684212,1.1912265716374266,1.2934425584795322,8.420336563277456,1.0,1.087502926935595e-28,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.2922937427797758,-1.0870103152998771,0,0,1.0,support_abstain_vs_count,2.7187573173389875e-27,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-4x4-slippery,return_auc,support_abstain_tau_20,count_gated_tau_20,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,FrozenLake-8x8-slippery,return_auc,support_abstain_tau_20,count_gated_tau_20,30,0.0049206349206349,0.0011904761904761,-0.0146825396825396,0.0251587301587301,0.0853333860804807,0.1084656084656084,0.6437138261712776,0.6223445441469178,0.7011080384254456,15,12,3,0.015126434934564,1.104476474219613,0,0,0.5555555555555556,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_task_expansion
confirmatory_extended_compact,Taxi-v3-compatible,return_auc,support_abstain_tau_20,count_gated_tau_20,30,-35.203650793650795,-36.54642857142858,-44.668113095238105,-25.53713492063492,-1.28899747198658,-0.9268817204301076,9.125622066377923e-08,3.855675458908081e-07,8.430331945419312e-06,3,27,0,0.2326233400578134,0.9670775538998364,0,0,0.1,support_abstain_vs_count,1.7338681926118052e-06,8.09691846370697e-06,0.0001601763069629,confirmatory_task_expansion
support_abstention_replication,FourRooms-11-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.6254992063492075,1.640785714285716,1.5595311309523825,1.6888107539682555,8.843560721545817,1.0,2.6696824485924346e-29,1.862645149230957e-09,1.862645149230957e-09,30,0,0,-0.7014922036210884,0.2736161183414367,0,0,1.0,support_abstain_vs_count,4.538460162607139e-28,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
