environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version
CliffWalking-v1,count_gated_tau_20,500,10000,-13.0,1.0,13.0,39.37173899999834,10000,594,16.34526279999409,23.026476200004254,0.8692150065912438,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.634526279999409,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,501,10000,-13.0,1.0,13.0,51.10071229999812,10000,594,18.35798909999721,32.74272320000091,0.8670657644069266,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.835798909999721,-256.5,0.5,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,502,10000,-13.0,1.0,13.0,40.229787100000976,10000,594,14.758638000002977,25.471149099998,0.8615331862832866,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.4758638000002977,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,503,10000,-13.0,1.0,13.0,31.775789900002565,10000,594,14.222204700003203,17.55358519999936,0.8682517571336835,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.4222204700003203,-256.5,0.5,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,504,10000,-13.0,1.0,13.0,39.01327719999972,10000,594,13.425088599997252,25.588188600002468,0.8650196420286883,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.3425088599997252,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,505,10000,-13.0,1.0,13.0,30.883864799998264,10000,594,14.906446099994357,15.97741870000391,0.8685304209930923,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.4906446099994357,-256.5,0.5,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,506,10000,-13.0,1.0,13.0,40.70557910000207,10000,594,15.254381099999591,25.45119800000248,0.8665390965864701,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.5254381099999592,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,507,10000,-13.0,1.0,13.0,44.67299220000132,10000,594,14.703739000004134,29.969253199997183,0.8672528136016967,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.4703739000004135,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,508,10000,-13.0,1.0,13.0,41.88137529999949,10000,594,14.553625000000466,27.327750299999025,0.8712839861440228,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.4553625000000465,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,count_gated_tau_20,509,10000,-13.0,1.0,13.0,33.47013009999864,10000,594,12.004583999994791,21.46554610000385,0.8698848824209408,0.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,10000,-13.0,10000,1.2004583999994791,-418.8333333333333,0.16666666666666666,asoc_confirmatory_extended_compact,configs/confirmatory_extended_compact.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
