agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gated_tau_20,return_auc,7,2.9285714285714284,2.0,1.0,5.0
fixed_hybrid,return_auc,7,4.571428571428571,5.0,3.0,6.0
random,return_auc,7,5.0,7.0,1.0,7.0
reliability_gated,return_auc,7,4.857142857142857,4.0,4.0,7.0
support_abstain_tau_20,return_auc,7,2.0714285714285716,1.5,1.0,5.0
tabular,return_auc,7,3.4285714285714284,3.0,2.0,6.0
validated_dqn,return_auc,7,5.142857142857143,6.0,1.0,7.0
count_gated_tau_20,success_rate_auc,7,4.071428571428571,4.0,1.5,6.0
fixed_hybrid,success_rate_auc,7,4.714285714285714,5.0,3.0,6.0
random,success_rate_auc,7,4.0,3.0,1.0,7.0
reliability_gated,success_rate_auc,7,4.857142857142857,5.0,4.0,7.0
support_abstain_tau_20,success_rate_auc,7,1.7857142857142858,1.5,1.0,3.0
tabular,success_rate_auc,7,2.5714285714285716,2.0,1.0,6.0
validated_dqn,success_rate_auc,7,6.0,6.0,4.0,7.0
count_gated_tau_20,mean_return,7,4.0,3.5,2.5,7.0
fixed_hybrid,mean_return,7,4.0,5.0,1.5,7.0
random,mean_return,7,5.0,7.0,1.0,7.0
reliability_gated,mean_return,7,5.142857142857143,5.0,4.0,7.0
support_abstain_tau_20,mean_return,7,2.2142857142857144,2.0,1.0,3.5
tabular,mean_return,7,2.5714285714285716,2.0,1.0,6.0
validated_dqn,mean_return,7,5.071428571428571,6.0,2.5,6.0
