environment,agent,beta,lambda,epsilon,scope,target_type,target_definition,aggregation_level,bin_index,bin_low,bin_high,n_rows,n_seeds,mean_score,observed_tabular_better_rate,observed_rate_ci_low,observed_rate_ci_high,calibration_gap,bootstrap_available_seed_count,source_file
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,6,0.6000000000000001,0.7000000000000001,8,5,0.6474091927784789,0.5333333333333333,0.13333333333333333,0.9333333333333332,0.11407585944514553,5,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,7,0.7000000000000001,0.8,5,2,0.7557400731219038,1.0,1.0,1.0,0.24425992687809617,2,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,8,0.8,0.9,3,1,0.8225388105498955,1.0,,,0.17746118945010447,1,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,2,0.2,0.30000000000000004,4,2,0.2960787534151402,0.0,0.0,0.0,0.2960787534151402,2,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,3,0.30000000000000004,0.4,71,9,0.3632476445670146,0.0,0.0,0.0,0.3632476445670146,9,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,4,0.4,0.5,254,10,0.4662878966448483,0.0,0.0,0.0,0.4662878966448483,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,5,0.5,0.6000000000000001,203,10,0.5336609988034936,0.00909090909090909,0.0,0.02727272727272727,0.5245700897125846,10,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,6,0.6000000000000001,0.7000000000000001,15,7,0.6246457124666116,0.5595238095238095,0.23809523809523808,0.8571428571428571,0.06512190294280207,7,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,evaluation_rows_clustered_by_seed,7,0.7000000000000001,0.8,6,3,0.7477366863325944,1.0,1.0,1.0,0.2522633136674056,3,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,evaluation_rows_clustered_by_seed,1,0.1,0.2,2,1,0.1893339366791858,0.0,,,0.1893339366791858,1,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
