environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
horizon240_budget12000_high_level,selected_temporal_drqn,15008,12000,-10.961706429019467,0.0,240.0,187.0066272000549,12000,2941,0.0009096406192316,0.0526521727442741,0,4,4,127.67790900002,59.32871820003493,,,,,,1.0,0.0,0.8841666666666667,0.07041666666666666,-0.00352083333333333,0.03498241602986426,0.19791666666666663,0.4241666666666667,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1526.7014583333334,1382.1999999999998,12000.0,11649.0,107548.0,12000,-10.961706429019467,12000,10.639825750001666,-10.747555917252468,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_high_level,velocity_setpoint_controller,15006,12000,-11.48045567838533,0.0,198.4,109.9152735999669,12000,0,,,0,4,4,62.096889000036754,47.81838459993014,,,,,,1.0,0.00327343613805052,0.7930079232951042,0.00125,-0.00333593613805052,0.034096435020058394,0.20980552106285177,0.38696780147662013,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,350.6672128842414,298.17499999999995,0.0,0.0,0.0,12000,-11.48045567838533,12000,5.174740750003063,-10.591196122621657,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_high_level,velocity_setpoint_controller,15007,12000,-11.048463796915836,0.0,225.6,104.44731980003417,12000,0,,,0,4,4,58.50326780008618,45.94405199994799,,,,,,1.0,0.0019991964850552104,0.6344824412347776,0.006265723270440229,-0.0023124826485772,0.03512514510166362,0.18956230067130025,0.2933644859813084,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,351.89955464365585,294.4,0.0,0.0,0.0,12000,-11.048463796915836,12000,4.875272316673848,-10.258642786884698,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_high_level,velocity_setpoint_controller,15008,12000,-10.390218310009082,0.0,232.9,105.11950190004428,12000,0,,,0,4,4,60.75958400004311,44.359917900001165,,,,,,1.0,0.00138791532037304,0.7199519725245339,0.0033650971599401905,-0.00155617017837003,0.03512133676908247,0.19859740467291787,0.33926278095473184,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,361.40024581633656,300.7,0.0,0.0,0.0,12000,-10.390218310009082,12000,5.063298666670259,-10.049024310834199,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_low_level,feed_forward_dqn,15006,12000,-7.1551941864700055,0.0,144.2,157.47984849999193,12000,2993,0.0186417450318707,0.4777665138244629,0,4,4,116.50908639992122,40.97076210007072,,,,,,1.0,0.00969546739123555,0.3718824689704234,0.0,-0.00969546739123555,0.03621701424171283,0.19978040073244574,0.36900613275613275,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1234.979094638475,1065.975,0.0,0.0,0.0,12000,-7.1551941864700055,12000,9.709090533326767,-7.886169416626576,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_low_level,feed_forward_dqn,15007,12000,-9.35875509010983,0.0,150.4,156.91863099997863,12000,2993,0.0150519582248207,0.4490143060684204,0,4,4,110.16992949997076,46.74870150000788,,,,,,1.0,0.0068042513903019295,0.2885582554820737,0.0,-0.0068042513903019295,0.03609816412976849,0.18410175475332796,0.19198592584462146,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1174.630247641846,1016.0999999999999,0.0,0.0,0.0,12000,-9.35875509010983,12000,9.180827458330898,-8.93551696556629,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_low_level,feed_forward_dqn,15008,12000,-8.852460268377094,0.0,122.6,151.8197239000001,12000,2993,0.0235856693773411,0.4599512815475464,0,4,4,112.6112021000008,39.20852179999929,,,,,,1.0,0.00902501457256087,0.11470401677110675,0.03371712933600038,-0.01071087103936089,0.040557499213619806,0.1929127462696596,0.40046740832248107,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1137.5552928726622,1025.05,0.0,0.0,0.0,12000,-8.852460268377094,12000,9.384266841666733,-8.486951448123184,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_low_level,selected_temporal_drqn,15006,12000,-7.854010828274417,0.0,150.5,181.17272450000743,12000,2981,0.0059310820011467,0.1213977709412574,0,4,4,141.9500506000477,39.22267389995977,,,,,,1.0,0.0074010004133318995,0.6713305887417931,0.01624999999999999,-0.00821350041333189,0.03499374610301292,0.20705184121767797,0.3011300845317636,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1551.920885535973,1391.975,12000.0,11642.0,112748.0,12000,-7.854010828274417,12000,11.829170883337307,-8.781751635603198,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_low_level,selected_temporal_drqn,15007,12000,-7.595831795938312,0.0,95.7,152.3474816000089,12000,2941,0.005056929052313,0.1503698825836181,0,4,4,123.38841059990229,28.959071000106636,,,,,,1.0,0.01174901627274556,0.5719951923085123,0.0094017094017094,-0.01221910174283103,0.03628313136693316,0.18613921767963262,0.268702819490221,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1704.2971326771403,1489.875,12000.0,11742.0,112748.0,12000,-7.595831795938312,12000,10.282367549991857,-8.28430715955136,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon240_budget12000_low_level,selected_temporal_drqn,15008,12000,-9.308706401558592,0.0,112.9,148.0266932999948,12000,2975,0.007296946847057,0.1225184202194213,0,4,4,126.06794889998856,21.958744400006253,,,,,,1.0,0.00892483935110142,0.1760731570895036,0.0,-0.00892483935110142,0.04203274082855588,0.18992348890535776,0.42660938861389963,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1628.9638749769315,1415.4499999999998,12000.0,11596.0,112748.0,12000,-9.308706401558592,12000,10.50566240833238,-8.016474038223928,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
