result_family,environment,agent,aggregation_level,source_file,source_column,n_episode_rows,n_finite_returns,nonfinite_returns_dropped,n_seeds,final_checkpoint_min,final_checkpoint_max,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,episode,results/application_risk_variants/raw.csv.gz,return,900,900,0,30,12000,12000,3.84487777778,-6.99,-2.96,-3.11133333333,-3.11133333333,90,-3.38488888889,45,True,
approx_support/feature_distance_support,ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,episode,results/approx_support/feature_distance_support/raw.csv.gz,return,900,900,0,30,12000,12000,-2.89595555556,-29.77,-26.3355,-24.1115555556,-24.1115555556,90,-28.0286666667,45,True,
approx_support/knn_support,ApplicationNavigation-deployment-goal-shift,knn_support_gate,episode,results/approx_support/knn_support/raw.csv.gz,return,900,900,0,30,12000,12000,-3.49624444444,-29.54,-28.39,-27.8362222222,-27.8362222222,90,-28.8491111111,45,True,
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,approx_count_gated_k5,episode,results/approximate_support_baseline_validation/raw.csv,return,9,9,0,3,600,600,-7.51666666667,-19.54,-19.264,-19.54,-19.54,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,episode,results/approximate_support_baseline_validation/raw.csv,return,9,9,0,3,600,600,-7.51666666667,-19.54,-19.264,-19.54,-19.54,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,episode,results/approximate_support_baseline_validation/raw.csv,return,9,9,0,3,600,600,-1.76666666667,-2.48,-2.312,-2.48,-2.48,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,tabular,episode,results/approximate_support_baseline_validation/raw.csv,return,9,9,0,3,600,600,-1.96888888889,-8.96,-7.584,-8.96,-8.96,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail
confirmatory_extended_compact,CliffWalking-v1,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-29.2333333333,-500,-13,-175.333333333,-175.333333333,90,-337.666666667,45,True,
confirmatory_extended_compact,CliffWalking-v1,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-192.433333333,-500,-500,-500,-500,90,-500,45,True,
confirmatory_extended_compact,CliffWalking-v1,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-5005.05666667,-9014,-6935,-7026.3,-7026.3,90,-7328.8,45,True,
confirmatory_extended_compact,CliffWalking-v1,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-175.6,-500,-500,-500,-500,90,-500,45,True,
