result_family,environment,agent,seed_aggregation_level,seed_source_file,seed_source_column,seed_n_seed_rows,seed_n_finite_returns,seed_nonfinite_returns_dropped,seed_mean_return,seed_minimum_return,seed_return_quantile_0_05,seed_worst_decile_mean_return,seed_cvar_0_10_return,seed_cvar_0_10_tail_count,seed_cvar_0_05_return,seed_cvar_0_05_tail_count,seed_cvar_0_05_available,seed_cvar_0_05_reason,seed_failure_probability,seed_failure_probability_n,seed_failure_probability_reason,seed_collision_rate,seed_collision_rate_n,seed_collision_rate_reason,seed_risk_zone_rate,seed_risk_zone_rate_n,seed_risk_zone_rate_reason,seed_motor_saturation_rate,seed_motor_saturation_rate_n,seed_motor_saturation_rate_reason,episode_aggregation_level,episode_source_file,episode_source_column,episode_n_episode_rows,episode_n_finite_returns,episode_nonfinite_returns_dropped,episode_n_seeds,episode_final_checkpoint_min,episode_final_checkpoint_max,episode_mean_return,episode_minimum_return,episode_return_quantile_0_05,episode_worst_decile_mean_return,episode_cvar_0_10_return,episode_cvar_0_10_tail_count,episode_cvar_0_05_return,episode_cvar_0_05_tail_count,episode_cvar_0_05_available,episode_cvar_0_05_reason,checkpoint_source_file,checkpoint_source_column,n_checkpoints,worst_checkpoint,worst_checkpoint_return,maximum_learning_curve_drawdown
adaptive_gate_compact_validation,CliffWalking-adaptive,count_gated_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-13,-13,-13,-13,-13,90,-13,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,5,2000,-1437.2,0
adaptive_gate_compact_validation,CliffWalking-adaptive,fuzzy_support_adaptive,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-13,-13,-13,-13,-13,90,-13,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,5,2000,-704.6,0
adaptive_gate_compact_validation,CliffWalking-adaptive,support_abstain_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13.0388888889,-14.1666666667,-13,-13.3888888889,-13.3888888889,3,-13.5833333333,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-13.0388888889,-18,-13,-13.3888888889,-13.3888888889,90,-13.7777777778,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,5,2000,-869.6,0
adaptive_gate_compact_validation,CliffWalking-adaptive,tabular,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-13,-13,-13,-13,-13,90,-13,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,5,2000,-1238.21,0
adaptive_gate_compact_validation,CliffWalking-adaptive,validated_dqn,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-500,-500,-500,-500,-500,3,-500,2,True,,1,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-500,-500,-500,-500,-500,90,-500,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,5,2000,-7100,0
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,count_gated_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-2.09176666667,-2.98566666667,-2.80116666667,-2.85966666667,-2.85966666667,3,-2.91366666667,2,True,,0.796666666667,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-2.09176666667,-3.16,-3.09,-3.09688888889,-3.09688888889,90,-3.11488888889,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,6,4000,-2.44695555556,0.0662222222222
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,fuzzy_support_adaptive,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-2.19026666667,-2.89733333333,-2.63368333333,-2.72122222222,-2.72122222222,3,-2.76783333333,2,True,,0.812222222222,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-2.19026666667,-3.16,-3.1,-3.10122222222,-3.10122222222,90,-3.11622222222,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,6,4000,-2.42097777778,0.0481555555556
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,support_abstain_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-1.05321111111,-1.449,-1.32443333333,-1.36322222222,-1.36322222222,3,-1.40516666667,2,True,,0.584444444444,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-1.05321111111,-2.18,-2.08,-2.08211111111,-2.08211111111,90,-2.108,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,6,6000,-1.11657777778,0.0202777777778
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-1.04543333333,-1.46566666667,-1.4149,-1.42944444444,-1.42944444444,3,-1.45633333333,2,True,,0.591111111111,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-1.04543333333,-2.19,-2.09,-2.09144444444,-2.09144444444,90,-2.11822222222,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,6,2000,-1.17628888889,0.0189444444444
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-2.13163333333,-2.785,-2.68273333333,-2.71077777778,-2.71077777778,3,-2.77466666667,2,True,,0.804444444444,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent,episode,results/adaptive_gate_compact_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-2.13163333333,-3.17,-3.09,-3.09622222222,-3.09622222222,90,-3.11444444444,45,True,,results/adaptive_gate_compact_validation/raw.csv.gz,return,6,4000,-2.43355555556,0.0305111111111
