result_family,environment,agent,checkpoint,aggregation_level,source_file,source_column,n_seeds,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,support_abstain_tau_20,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.06793333333,-1.382,-1.37223333333,-1.37488888889,-1.37488888889,3,-1.38116666667,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,support_abstain_tau_20,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.05991111111,-1.497,-1.39685,-1.42533333333,-1.42533333333,3,-1.48,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,support_abstain_tau_20,12000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.05321111111,-1.449,-1.32443333333,-1.36322222222,-1.36322222222,3,-1.40516666667,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.17628888889,-1.50033333333,-1.45323333333,-1.46611111111,-1.46611111111,3,-1.49583333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.10154444444,-1.455,-1.39026666667,-1.409,-1.409,3,-1.44183333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.12048888889,-1.55666666667,-1.4681,-1.49533333333,-1.49533333333,3,-1.52783333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.05113333333,-1.56166666667,-1.3598,-1.42544444444,-1.42544444444,3,-1.47183333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.04213333333,-1.60033333333,-1.34395,-1.42377777778,-1.42377777778,3,-1.51016666667,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,12000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-1.04543333333,-1.46566666667,-1.4149,-1.42944444444,-1.42944444444,3,-1.45633333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-2.40304444444,-2.76366666667,-2.74801666667,-2.75266666667,-2.75266666667,3,-2.75966666667,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-2.43355555556,-2.812,-2.79966666667,-2.80288888889,-2.80288888889,3,-2.81183333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-2.34043333333,-2.87033333333,-2.72968333333,-2.77644444444,-2.77644444444,3,-2.80083333333,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-2.23758888889,-2.87566666667,-2.73976666667,-2.78477777778,-2.78477777778,3,-2.80966666667,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-2.11836666667,-2.816,-2.64953333333,-2.69711111111,-2.69711111111,3,-2.78616666667,2,True,
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,12000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,-2.13163333333,-2.785,-2.68273333333,-2.71077777778,-2.71077777778,3,-2.77466666667,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,count_gated_tau_20,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.201111111111,0,0.015,0.0111111111111,0.0111111111111,3,0,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,count_gated_tau_20,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.41,0.1,0.181666666667,0.155555555556,0.155555555556,3,0.133333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,count_gated_tau_20,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.628888888889,0.366666666667,0.4,0.388888888889,0.388888888889,3,0.383333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,count_gated_tau_20,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.641111111111,0.1,0.381666666667,0.288888888889,0.288888888889,3,0.233333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,count_gated_tau_20,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.666666666667,0.266666666667,0.4,0.355555555556,0.355555555556,3,0.333333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,fuzzy_support_adaptive,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.18,0,0.0333333333333,0.0222222222222,0.0222222222222,3,0.0166666666667,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,fuzzy_support_adaptive,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.386666666667,0.1,0.115,0.111111111111,0.111111111111,3,0.1,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,fuzzy_support_adaptive,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.574444444444,0.233333333333,0.263333333333,0.255555555556,0.255555555556,3,0.233333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,fuzzy_support_adaptive,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.643333333333,0.333333333333,0.515,0.455555555556,0.455555555556,3,0.416666666667,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,fuzzy_support_adaptive,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.653333333333,0.4,0.496666666667,0.466666666667,0.466666666667,3,0.433333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,support_abstain_tau_20,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.196666666667,0,0.0333333333333,0.0222222222222,0.0222222222222,3,0.0166666666667,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,support_abstain_tau_20,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.401111111111,0.1,0.181666666667,0.155555555556,0.155555555556,3,0.133333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,support_abstain_tau_20,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.623333333333,0.366666666667,0.4,0.388888888889,0.388888888889,3,0.383333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,support_abstain_tau_20,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.641111111111,0.1,0.381666666667,0.288888888889,0.288888888889,3,0.233333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,support_abstain_tau_20,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.665555555556,0.266666666667,0.4,0.355555555556,0.355555555556,3,0.333333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.117777777778,0,0,0,0,3,0,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.307777777778,0.0333333333333,0.0483333333333,0.0444444444444,0.0444444444444,3,0.0333333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.491111111111,0.1,0.115,0.111111111111,0.111111111111,3,0.1,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.618888888889,0.233333333333,0.3,0.277777777778,0.277777777778,3,0.266666666667,2,True,
