result_family,environment,agent,aggregation_level,source_file,source_column,n_seed_rows,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason,failure_probability,failure_probability_n,failure_probability_reason,collision_rate,collision_rate_n,collision_rate_reason,risk_zone_rate,risk_zone_rate_n,risk_zone_rate_reason,motor_saturation_rate,motor_saturation_rate_n,motor_saturation_rate_reason
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-4.54175555556,-12.7736666667,-11.07825,-11.6417777778,-11.6417777778,3,-11.9368333333,2,True,,0.41,30,,0.232902141545,30,,0.0205567728942,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-4.99525555556,-12.256,-10.6864666667,-11.2017777778,-11.2017777778,3,-11.5243333333,2,True,,0.658888888889,30,,0.182533252521,30,,0.0155992747017,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-5.54234444444,-12.775,-11.1112166667,-11.622,-11.622,3,-12.2388333333,2,True,,0.502222222222,30,,0.244377849732,30,,0.0169056447086,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,1.23342222222,-0.755666666667,-0.09725,-0.316222222222,-0.316222222222,3,-0.429833333333,2,True,,0.455555555556,30,,0.00670581692147,30,,0.0327830547725,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,tabular,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,1.2795,-1.09866666667,-0.603483333333,-0.768111111111,-0.768111111111,3,-0.854,2,True,,0.248888888889,30,,0.0695517983337,30,,0.0356371324482,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,validated_dqn,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-3.60431111111,-9.894,-7.03626666667,-7.92066666667,-7.92066666667,3,-8.92533333333,2,True,,0.935555555556,30,,0.0435593107951,30,,0.0465728087848,30,,,0,source column motor_saturation_rate is absent
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,seed,results/application_risk_variants/seed_metrics.csv,mean_return,30,30,0,-0.320433333333,-2.85266666667,-2.25903333333,-2.45355555556,-2.45355555556,3,-2.5785,2,True,,0.374444444444,30,,0.00601404329485,30,,0.0287846819295,30,,,0,source column motor_saturation_rate is absent
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,seed,results/application_risk_variants/seed_metrics.csv,mean_return,30,30,0,0.865888888889,-2.155,-1.19225,-1.50888888889,-1.50888888889,3,-1.7025,2,True,,0.257777777778,30,,0.086789693339,30,,0.0366775440436,30,,,0,source column motor_saturation_rate is absent
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,seed,results/application_risk_variants/seed_metrics.csv,mean_return,30,30,0,0.604911111111,-3.20633333333,-2.49085,-2.70488888889,-2.70488888889,3,-3.01366666667,2,True,,0.121111111111,30,,0.132044828642,30,,0.0130153130668,30,,,0,source column motor_saturation_rate is absent
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,seed,results/application_risk_variants/seed_metrics.csv,mean_return,30,30,0,3.84487777778,2.783,3.0996,2.99988888889,2.99988888889,3,2.902,2,True,,0.128888888889,30,,0.00427383184099,30,,0.0126922776801,30,,,0,source column motor_saturation_rate is absent
approx_support/feature_distance_support,ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,seed,results/approx_support/feature_distance_support/seed_metrics.csv,mean_return,30,30,0,-2.89595555556,-10.2803333333,-6.16301666667,-7.52911111111,-7.52911111111,3,-8.2645,2,True,,0.677777777778,30,,0.102897114544,30,,0.0220463363861,30,,,0,source column motor_saturation_rate is absent
approx_support/knn_support,ApplicationNavigation-deployment-goal-shift,knn_support_gate,seed,results/approx_support/knn_support/seed_metrics.csv,mean_return,30,30,0,-3.49624444444,-9.41133333333,-8.0088,-8.44333333333,-8.44333333333,3,-8.93266666667,2,True,,0.653333333333,30,,0.133545634984,30,,0.0317507344541,30,,,0,source column motor_saturation_rate is absent
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,approx_count_gated_k5,seed,results/approximate_support_baseline_validation/seed_metrics.csv,mean_return,3,3,0,-7.51666666667,-18.85,-17.175,-18.85,-18.85,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail,1,3,,0.315277777778,3,,0.0180555555556,3,,,0,source column motor_saturation_rate is absent
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,seed,results/approximate_support_baseline_validation/seed_metrics.csv,mean_return,3,3,0,-7.51666666667,-18.85,-17.175,-18.85,-18.85,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail,1,3,,0.315277777778,3,,0.0180555555556,3,,,0,source column motor_saturation_rate is absent
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,seed,results/approximate_support_baseline_validation/seed_metrics.csv,mean_return,3,3,0,-1.76666666667,-2.1,-2.05,-2.1,-2.1,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail,1,3,,0.00277777777778,3,,0.0180555555556,3,,,0,source column motor_saturation_rate is absent
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,tabular,seed,results/approximate_support_baseline_validation/seed_metrics.csv,mean_return,3,3,0,-1.96888888889,-6.48666666667,-5.826,-6.48666666667,-6.48666666667,1,,1,False,fewer than two observations fall in the alpha=0.05 empirical tail,0.555555555556,3,,0.190075973409,3,,0.0132495590829,3,,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,count_gated_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-29.2333333333,-500,-13,-175.333333333,-175.333333333,3,-256.5,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,fixed_hybrid,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-192.433333333,-500,-500,-500,-500,3,-500,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,random,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-5005.05666667,-5409.13333333,-5398.75833333,-5401.72222222,-5401.72222222,3,-5407.28333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,reliability_gated,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-175.6,-500,-500,-500,-500,3,-500,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,support_abstain_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-13.2,-17,-14.1,-15,-15,3,-16,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,tabular,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,CliffWalking-v1,validated_dqn,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-500,-500,-500,-500,-500,3,-500,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,count_gated_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-3.17228888889,-3.94533333333,-3.8377,-3.87355555556,-3.87355555556,3,-3.89166666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,fixed_hybrid,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-3.0441,-3.78033333333,-3.51106666667,-3.59766666667,-3.59766666667,3,-3.667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
