environment,candidate_id,estimator_family,estimator_type,representation,slot_id,k,h,tau_approx,regularization,requested_index,effective_index,seed,return_auc,failure_probability,median_query_latency_seconds,checkpoint_first,checkpoint_last,checkpoint_count,evaluation_episodes_per_checkpoint,source_row_count,execution_source_commit,source_snapshot_sha256,source_file
ApplicationNavigation-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13003,-4.812399999999999,0.73125,0.0014612000000000002,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13004,-2.925933333333333,0.84375,0.0010761500000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13000,-2.033466666666667,0.75,0.01316165,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13001,-2.156033333333334,0.76875,0.005358150000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13002,-2.135700000000001,0.8125,0.00577555,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13003,-2.2141000000000006,0.79375,0.0054376,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s2,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s2,5,0.5,4.0,0.001,auto,auto,13004,-1.9951000000000005,0.7125,0.0056707,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13000,-7.7918,0.83125,1.86e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13001,-4.696133333333333,0.925,2.2199999999999998e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13002,-2.850633333333333,0.94375,2.0249999999999998e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13003,-4.666633333333333,0.90625,2.205e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13004,-4.333433333333333,0.9125,1.9149999999999998e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13000,-2.1094000000000004,0.78125,2.0150000000000002e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13001,-2.3260666666666676,0.85,1.205e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13002,-2.2410666666666677,0.81875,1.045e-05,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13003,-2.1630000000000007,0.78125,8.25e-06,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s3,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s3,7,1.0,8.0,0.01,brute_force,brute_force,13004,-2.1119000000000003,0.7625,9.299999999999999e-06,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
