family,agent,seed,checkpoint,episode_count,trajectory_deviation_rmse_m,maximum_trajectory_deviation_m,recovery_probability,recovery_time_seconds_recovered_only,recovered_episode_count,censor_time_seconds_nonrecovered_only,censored_episode_count,saturation_duration_seconds,constraint_violation_duration_seconds,near_miss_duration_seconds,source_files
combined_executed_condition_safety_trace,feed_forward_dqn,16030,240,4,0.5433430801350326,0.8418182037864006,0.0,,0,0.4,4,0.0,0.499999999999998,0.0,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16030.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16031,240,4,0.5341757989935356,0.8244190211345815,0.0,,0,0.4,4,0.0,0.4458333333333315,0.0249999999999999,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16031.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,240,4,0.5571964098982813,0.8665076236298813,0.0,,0,0.4,4,0.0,0.3916666666666651,0.00416666666666665,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,240,4,0.5392457244129247,0.8321323873568537,0.0,,0,0.4,4,0.0,0.4249999999999983,0.0,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,240,4,0.5610941616556793,0.8668061185912439,0.0,,0,0.4,4,0.0,0.3374999999999987,0.0,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,240,4,0.545984401165343,0.8494365814805158,0.0,,0,0.4,4,0.0,0.42083333333333167,0.0166666666666666,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16036,240,4,0.5303788976391192,0.8244084931135983,0.0,,0,0.4,4,0.0,0.4416666666666649,0.0,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16036.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16037,240,4,0.5459459335549983,0.8520839949744519,0.0,,0,0.4,4,0.0,0.3749999999999985,0.00416666666666665,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16037.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16038,240,4,0.5404680843923066,0.8356237630111929,0.0,,0,0.4,4,0.0,0.24583333333333235,0.0,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16038.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16039,240,4,0.5466466720985128,0.8392040346416889,0.0,,0,0.4,4,0.0,0.2166666666666658,0.0,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16039.trace.csv.gz
