family,agent,seed,checkpoint,episode,sample_count,post_onset_sample_count,perturbation_onset_timestamp,trajectory_deviation_rmse_m,maximum_trajectory_deviation_m,recovered,recovery_time_seconds,censor_time_seconds,saturation_duration_seconds,constraint_violation_duration_seconds,near_miss_duration_seconds,saturation_sample_count,constraint_violation_sample_count,near_miss_sample_count,recovery_band_m,required_dwell_steps,non_recovery_rule,source_file
combined_executed_condition_safety_trace,feed_forward_dqn,16031,240,3,30,25,0.1,0.5075740491838207,0.7746195702151528,False,,0.4,0.0,0.499999999999998,0.0999999999999996,0,30,6,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16031.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16031,240,4,30,25,0.1,0.5426008131469501,0.8297058585034769,False,,0.4,0.0,0.3499999999999986,0.0,0,21,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16031.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,120,1,30,25,0.1,0.5447544415710107,0.8517265591033206,False,,0.4,0.0,0.44999999999999823,0.0,0,27,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,120,2,30,25,0.1,0.5543660917892664,0.8685304239843964,False,,0.4,0.0,0.0,0.0,0,0,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,120,3,30,25,0.1,0.5369339784041673,0.8392977923185355,False,,0.4,0.0,0.0,0.0,0,0,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,120,4,30,25,0.1,0.5520022117797977,0.8628797261874119,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,240,1,30,25,0.1,0.5517825200905594,0.8577022633371186,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,240,2,30,25,0.1,0.5733198019524289,0.8857874699778328,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,240,3,30,25,0.1,0.548244789626537,0.8599916009819085,False,,0.4,0.0,0.0666666666666664,0.0,0,4,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16032,240,4,30,25,0.1,0.5554385279236002,0.8625491602226655,False,,0.4,0.0,0.499999999999998,0.0166666666666666,0,30,1,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16032.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,120,1,30,25,0.1,0.5459385660001168,0.8571961269386071,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,120,2,30,25,0.1,0.5545339593284458,0.859168028111061,False,,0.4,0.0,0.0,0.0,0,0,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,120,3,30,25,0.1,0.5926847692130233,0.9419201458449206,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,120,4,30,25,0.1,0.5553631922271498,0.8662768946339988,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,240,1,30,25,0.1,0.5518833113063084,0.8436338010621273,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,240,2,30,25,0.1,0.52720617966231,0.81919148089417,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16033,240,3,30,25,0.1,0.5577087111630549,0.8619725244173314,False,,0.4,0.0,0.1999999999999992,0.0,0,12,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
