agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
double_dqn_lr3e4_h128,return_auc,7,5.642857142857143,6.0,3.5,7.0
vanilla_dqn_buffer100k,return_auc,7,2.857142857142857,2.0,1.0,6.0
vanilla_dqn_h128,return_auc,7,4.0,4.0,1.5,7.0
vanilla_dqn_h64,return_auc,7,3.2857142857142856,3.0,1.0,7.0
vanilla_dqn_lr3e4_h128,return_auc,7,2.9285714285714284,3.0,1.0,4.0
vanilla_dqn_target1000,return_auc,7,4.285714285714286,4.0,2.0,6.0
vanilla_dqn_target250,return_auc,7,5.0,5.0,3.0,7.0
double_dqn_lr3e4_h128,success_rate_auc,7,6.142857142857143,7.0,4.0,7.0
vanilla_dqn_buffer100k,success_rate_auc,7,3.0714285714285716,3.0,1.0,5.5
vanilla_dqn_h128,success_rate_auc,7,3.142857142857143,4.0,1.0,5.0
vanilla_dqn_h64,success_rate_auc,7,3.4285714285714284,4.0,1.0,5.0
vanilla_dqn_lr3e4_h128,success_rate_auc,7,4.0,4.0,3.0,6.0
vanilla_dqn_target1000,success_rate_auc,7,4.071428571428571,4.0,1.0,6.0
vanilla_dqn_target250,success_rate_auc,7,4.142857142857143,4.0,1.0,6.0
double_dqn_lr3e4_h128,mean_return,7,4.642857142857143,4.0,2.0,7.0
vanilla_dqn_buffer100k,mean_return,7,4.285714285714286,4.0,1.0,7.0
vanilla_dqn_h128,mean_return,7,4.357142857142857,4.0,3.0,6.5
vanilla_dqn_h64,mean_return,7,3.2857142857142856,4.0,1.0,6.0
vanilla_dqn_lr3e4_h128,mean_return,7,3.9285714285714284,4.0,2.0,6.5
vanilla_dqn_target1000,mean_return,7,3.9285714285714284,4.0,2.0,6.0
vanilla_dqn_target250,mean_return,7,3.5714285714285716,4.0,1.0,7.0
