environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-v1,success_rate,count_gated_tau_20,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,success_rate,count_gated_tau_5,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_1,count_gated_tau_10,5,-24.25,0.0,-97.3,48.8,-0.2383432674827623,-0.16666666666666666,0.6223001972808306,1.0,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_1,count_gated_tau_100,5,0.23999999999999772,0.0,-72.33000000000001,73.05,0.002801558047961658,0.3333333333333333,0.995301682733607,1.0,1.0,1,1,3,0.5,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_1,count_gated_tau_20,5,-24.35,0.0,-97.4,48.7,-0.23904572186687872,-0.3333333333333333,0.621308295037497,1.0,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_1,count_gated_tau_5,5,-48.7,0.0,-97.4,0.0,-0.7302967433402215,-1.0,0.17780780835622137,0.5,0.5,0,2,3,0.0,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_1,count_gated_tau_50,5,0.0,0.0,-73.05,73.05,0.0,0.0,1.0,1.0,1.0,1,1,3,0.5,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_10,count_gated_tau_100,5,24.49,0.0,0.0,72.99,0.4527389679474323,1.0,0.36862932203175736,0.5,0.5,2,0,3,1.0,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_10,count_gated_tau_20,5,-0.1,0.0,-73.05,72.95,-0.001161567796371402,-0.16666666666666666,0.9980519943229684,1.0,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_10,count_gated_tau_5,5,-24.45,-0.5,-97.5,48.7,-0.24009729124056162,-0.4,0.6198252396928202,0.625,0.625,1,3,1,0.25,1.0,1.0,1.0
