experiment_name,experiment,config_file,environment,environment_id,resolved_environment_id,observation_representation,agent,seed,phase,train_steps,eval_checkpoint,eval_return,checkpoint,episode,return,length,success,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,elapsed_seconds,training_elapsed_seconds,evaluation_elapsed_seconds,wall_clock_training_time,wall_clock_evaluation_time,git_commit_hash,package_version,source_snapshot_sha256,execution_inputs_clean,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,support_status,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,selected_branch,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,tabular_greedy_action,neural_greedy_action,mixed_selected_action,optimal_action,tabular_action_correct,neural_action_correct,relative_reliability_score,predicted_better_branch,actually_better_branch,actually_better_branch_value,tabular_q_error,neural_q_error,post_shift,shift_region,steps_since_shift
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,120,,,120,1,-8.779999999999982,120,0.0,120,0,nan,nan,0,0,3,0.09027010000136215,0.09027010000136215,0.0,0.09027010000136215,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.0,0.0,1.0,1.0,36.0,1.0,0.21666666666666667,0.041666666666666664,0.16666666666666666,-0.23333333333333334,1.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.0,nan,nan,unsupported,21.493333333333332,19.4,none,36.0,180.0,1584.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,240,,,240,2,-9.76999999999998,120,0.0,240,0,nan,nan,0,0,3,0.15987219999806257,0.15987219999806257,0.0,0.15987219999806257,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.0,0.0,1.0,1.0,48.0,1.0,0.25833333333333336,0.025,0.24166666666666667,-0.28250000000000003,1.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.0,nan,nan,unsupported,19.513333333333335,18.25,none,48.0,240.0,2112.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,360,,,360,3,-8.239999999999977,120,0.0,360,0,nan,nan,0,0,3,0.2272064999997383,0.2272064999997383,0.0,0.2272064999997383,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.1391941391941392,0.0,1.0,1.0,55.0,1.0,0.2,0.03333333333333333,0.24166666666666667,-0.22416666666666668,0.18333333333333332,0.16404151404151404,0.6526251526251527,0.0,nan,nan,0.18361029260073097,nan,0.8166666666666667,0.8166666666666667,nan,0.0,nan,nan,exact,30.545833333333334,16.85,neural,55.0,275.0,2420.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,480,,,480,4,-7.00999999999998,120,0.0,480,0,nan,nan,0,0,3,0.2966675999996369,0.2966675999996369,0.0,0.2966675999996369,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.22988244870597813,0.0,1.0,1.0,58.0,1.0,0.15833333333333333,0.025,0.20833333333333334,-0.17916666666666667,0.0,0.25261437908496726,0.7473856209150325,0.0,nan,nan,0.28741834835952484,nan,1.0,1.0,nan,0.0,nan,nan,exact,33.270833333333336,18.1,neural,58.0,290.0,2552.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,548,,,548,5,-0.8999999999999924,68,1.0,548,3,0.008299521480997404,0.010774802416563034,0,0,3,0.35690140000224346,0.35690140000224346,0.0,0.35690140000224346,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.22988244870597813,0.0,1.0,1.0,65.0,0.0,0.23529411764705882,0.16176470588235295,0.11764705882352941,0.7529411764705882,0.0,0.4117647058823528,0.588235294117647,0.0,nan,nan,0.5034146962085903,nan,1.0,1.0,nan,0.0,nan,nan,exact,21.5,18.8,neural,65.0,325.0,2860.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,668,,,668,6,-8.159999999999984,120,0.0,668,10,0.00595878129824996,0.010774802416563034,0,0,3,0.4688677000012831,0.4688677000012831,0.0,0.4688677000012831,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.1685564761307433,0.0,1.0,1.0,86.0,1.0,0.2,0.025,0.20833333333333334,-0.22083333333333335,0.25,0.2000548045305079,0.7999451954694922,0.0,nan,nan,0.23356476836314735,nan,0.75,0.75,nan,0.25,nan,nan,exact,65.93,20.6,neural,86.0,430.0,3784.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,788,,,788,7,-7.6199999999999815,120,0.0,788,18,0.020814721783002216,0.14255858957767487,0,0,3,0.5849020000023302,0.5849020000023302,0.0,0.5849020000023302,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.16919683406820463,0.0,1.0,1.0,105.0,1.0,0.18333333333333332,0.016666666666666666,0.2,-0.2033333333333333,0.0,0.1592577953447518,0.8407422046552481,0.0,nan,nan,0.17607537831984732,nan,1.0,1.0,nan,0.0,nan,nan,exact,42.31083333333333,21.85,neural,105.0,525.0,4620.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,908,,,908,8,-7.089999999999989,120,0.0,908,25,0.016083879731595516,0.14255858957767487,0,0,3,0.6941571999996086,0.6941571999996086,0.0,0.6941571999996086,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.18953784542698912,0.0,1.0,1.0,121.0,1.0,0.15833333333333333,0.03333333333333333,0.25,-0.18333333333333332,0.08333333333333333,0.2626620929253987,0.7373379070746015,0.0,nan,nan,0.3067874888466908,nan,0.9166666666666666,0.9166666666666666,nan,0.08333333333333333,nan,nan,exact,73.99666666666667,20.25,neural,121.0,605.0,5324.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,1028,,,1028,9,-9.469999999999974,120,0.0,1028,33,0.013251370898532596,0.14255858957767487,0,0,3,0.8121840000021621,0.8121840000021621,0.0,0.8121840000021621,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.16612340606746948,0.0,1.0,1.0,147.0,1.0,0.24166666666666667,0.041666666666666664,0.2,-0.26166666666666666,0.09166666666666666,0.11965854194115062,0.8803414580588494,0.0,nan,nan,0.12790489370660982,nan,0.9083333333333333,0.9083333333333333,nan,0.09166666666666666,nan,nan,exact,67.29833333333333,20.9,neural,147.0,735.0,6468.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
reviewer1_localized_reward_shift_smoke,reviewer1_localized_reward_shift_smoke,configs/reviewer1_remaining/smoke/localized_reward_shift.yaml,Reviewer1-localized-reward-shift-smoke,Reviewer1LocalizedRewardShift-v0,Reviewer1LocalizedRewardShift-v0,native_gymnasium_observation,count_gated_tau_20,11020,train,1148,,,1148,10,-7.809999999999978,120,0.0,1148,40,0.011779022391419858,0.14255858957767487,0,0,3,0.9290250999983982,0.9290250999983982,0.0,0.9290250999983982,0.0,d1991e82fa1ea0337d3d6296e2c904f22359ea22,1.8.0,d1c23f2e71aa761353c5b3f635ffd119fc8d1e2b9bf91b28fb2bd07506e49edd,True,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed,0.20681312528985835,0.0,1.0,1.0,147.0,1.0,0.15833333333333333,0.10833333333333334,0.25,-0.18333333333333332,0.0,0.4305879636663849,0.5694120363336151,0.0,nan,nan,0.5412919497832084,nan,1.0,1.0,nan,0.0,nan,nan,exact,63.63,19.95,neural,147.0,735.0,6468.0,nan,0.0,0.0,nan,,,,,,,,,,,,,,,
