environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
ReliabilityShift-boundary-020-confirmatory,count_gate,1410,8000,0.53,0.765,1.0,20.54118549999839,8000,1969,17.401516800004174,3.1396686999942176,0.8433056100165399,0.0,1.0,1.0,41.0,0.235,0.0,0.0,0.0,0.765,0.0,0.9063441088732128,0.0936558911267869,0.0,,,0.9999249983839495,,479.073,437.1,41.0,82.0,820.0,8000,0.53,8000,2.1751896000005218,0.4153333333333333,0.7076666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1411,8000,0.59,0.795,1.0,20.290641800005687,8000,1969,17.259145699979854,3.0314961000258336,0.8427985572543013,0.0,1.0,1.0,41.0,0.205,0.0,0.0,0.0,0.795,0.0,0.9068152830167664,0.0931847169832335,0.0,,,0.9999278127050606,,451.22,424.5,41.0,82.0,820.0,8000,0.59,8000,2.1573932124974817,0.414,0.707,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1412,8000,0.58,0.79,1.0,20.13362920000509,8000,1969,17.05059829998936,3.0830309000157285,0.8446048558903239,0.0,1.0,1.0,41.0,0.21,0.0,0.0,0.0,0.79,0.0,0.906774203122922,0.093225796877078,0.0,,,0.999923787472542,,505.839,489.2,41.0,82.0,820.0,8000,0.58,8000,2.13132478749867,0.4163333333333333,0.7081666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1413,8000,0.59,0.795,1.0,20.07950969999365,8000,1969,17.00784210000711,3.07166759998654,0.8427822544129571,0.0,1.0,1.0,41.0,0.205,0.0,0.0,0.0,0.795,0.0,0.9064819805583424,0.0935180194416576,0.0,,,0.999924298187166,,474.7195,452.75,41.0,82.0,820.0,8000,0.59,8000,2.125980262500889,0.4103333333333333,0.7051666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1414,8000,0.46,0.73,1.0,20.34779189999972,8000,1969,17.108025200024713,3.239766699975007,0.8412611624195895,0.0,1.0,1.0,41.0,0.27,0.0,0.0,0.0,0.73,0.0,0.9067294674119776,0.0932705325880223,0.0,,,0.9999295919220954,,491.0005000000001,453.55,41.0,82.0,820.0,8000,0.46,8000,2.138503150003089,0.4106666666666667,0.7053333333333334,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1415,8000,0.45,0.725,1.0,20.202627499995288,8000,1969,17.071460600025603,3.131166899969685,0.8433694171788978,0.0,1.0,1.0,41.0,0.275,0.0,0.0,0.0,0.725,0.0,0.9070329841988396,0.0929670158011603,0.0,,,0.9999316197494836,,479.852,452.0,41.0,82.0,820.0,8000,0.45,8000,2.1339325750032003,0.4093333333333333,0.7046666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1416,8000,0.56,0.78,1.0,20.12036139999691,8000,1969,16.924948500018218,3.195412899978692,0.8438585432022484,0.0,1.0,1.0,41.0,0.22,0.0,0.0,0.0,0.78,0.0,0.907213229225742,0.092786770774258,0.0,,,0.9999317986580152,,497.8455,441.5,41.0,82.0,820.0,8000,0.56,8000,2.115618562502277,0.4213333333333333,0.7106666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1417,8000,0.65,0.825,1.0,20.44540589999815,8000,1969,17.357684599992353,3.0877213000057964,0.8416262828681125,0.0,1.0,1.0,41.0,0.175,0.0,0.0,0.0,0.825,0.0,0.9070617211739708,0.0929382788260291,0.0,,,0.9999290540946968,,519.513,459.15,41.0,82.0,820.0,8000,0.65,8000,2.169710574999044,0.4213333333333333,0.7106666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1418,8000,0.66,0.83,1.0,20.6901102999982,8000,1969,17.518774600044708,3.171335699953488,0.843339543910462,0.0,1.0,1.0,41.0,0.17,0.0,0.0,0.0,0.83,0.0,0.9070514564976918,0.0929485435023081,0.0,,,0.9999312373020052,,533.729,476.05,41.0,82.0,820.0,8000,0.66,8000,2.1898468250055885,0.4323333333333333,0.7161666666666666,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1419,8000,0.56,0.78,1.0,20.29993249999825,8000,1969,17.23417349997908,3.0657590000191703,0.8442117358354202,0.0,1.0,1.0,41.0,0.22,0.0,0.0,0.0,0.78,0.0,0.906200925974127,0.0937990740258728,0.0,,,0.9999254598689729,,495.413,452.25,41.0,82.0,820.0,8000,0.56,8000,2.154271687497385,0.4326666666666666,0.7163333333333334,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
