environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p,analysis_status
FourRooms-11-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.6254992063492077,1.640785714285716,1.5595311309523823,1.6888107539682555,8.843560721545817,1.0,2.6696824485924346e-29,1.862645149230957e-09,1.862645149230957e-09,30,0,0,-0.7014922036210884,0.27361611834143673,0,0,1.0,support_abstain_vs_count,4.538460162607139e-28,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
FourRooms-7-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.163668518518519,1.1759722222222226,1.117466296296297,1.2112743055555564,8.736242542218994,1.0,3.78784767299897e-29,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.37535481713712254,-0.1740124755229835,0,0,1.0,support_abstain_vs_count,6.060556276798352e-28,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
FourRooms-9-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.1903711111111108,1.2078166666666665,1.1417998611111106,1.2380454444444442,8.633215757753664,1.0,5.320754612183216e-29,1.862645149230957e-09,1.862645149230957e-09,30,0,0,-0.057572545499167745,-0.7853823392693573,0,0,1.0,support_abstain_vs_count,7.981131918274824e-28,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
MiniGrid-Empty-5x5-replication,return_auc,support_abstain_tau_20,count_gated_tau_20,30,0.01907037037037037,0.0,-0.03379189814814812,0.07009074074074075,0.12873302439591008,0.24242424242424243,0.48637323798243015,0.47668869326164165,0.548828125,7,4,19,-0.5297423384554039,4.879978528246677,0,0,0.6363636363636364,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_replication_after_diagnostic_discovery
FourRooms-11-slip-unseen-goals,return_auc,support_abstain_tau_20,validated_dqn,30,1.6321746031746047,1.6153214285714297,1.5646734523809536,1.7001546626984139,8.398372447294568,1.0,1.1719158203674172e-28,1.862645149230957e-09,1.862645149230957e-09,30,0,0,-0.1509011333966681,-0.6561159634691855,0,0,1.0,support_abstain_vs_dqn,1.640682148514384e-27,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
FourRooms-7-unseen-goals,return_auc,support_abstain_tau_20,validated_dqn,30,1.1682500000000002,1.1814166666666672,1.123321666666667,1.2156366203703708,9.061454841371798,1.0,1.328751330041424e-29,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.7745716635585412,2.5776526966446474,0,0,1.0,support_abstain_vs_dqn,2.391752394074563e-28,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
FourRooms-9-slip-unseen-goals,return_auc,support_abstain_tau_20,validated_dqn,30,1.173224444444444,1.1832500000000001,1.1172904166666664,1.2281033055555555,7.3910349630221,1.0,4.5098267005597325e-27,1.862645149230957e-09,1.862645149230957e-09,30,0,0,-0.31979012374279986,-0.4439615303965718,0,0,1.0,support_abstain_vs_dqn,5.862774710727652e-26,3.725290298461914e-08,3.725290298461914e-08,confirmatory_replication_after_diagnostic_discovery
MiniGrid-Empty-5x5-replication,return_auc,support_abstain_tau_20,validated_dqn,30,0.26904999999999996,0.21197222222222223,0.21826254629629632,0.3236744907407408,1.7799472444487123,1.0,1.1706945114449446e-10,2.515132181592318e-06,3.725290298461914e-09,29,0,1,0.9863464757552084,1.4811720095866558,0,0,1.0,support_abstain_vs_dqn,1.287763962589439e-09,2.7331716201503915e-05,4.0978193283081055e-08,confirmatory_replication_after_diagnostic_discovery
FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,0.0066753968253966175,0.04703571428571407,-0.0514310317460321,0.06413634920634914,0.04029268376571046,0.05806451612903226,0.8268785804126191,0.7921590935438871,0.5846647117286922,17,13,0,-0.14148676781636454,-0.2433751534043096,0,0,0.5666666666666667,count_vs_dqn,1.0,1.0,1.0,confirmatory_replication_after_diagnostic_discovery
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,0.004581481481481438,0.028277777777777735,-0.026598518518518587,0.03505773148148143,0.05215219753450783,0.04086021505376344,0.7771771418942055,0.8552717231214046,0.5846647117286922,17,13,0,-0.23341580321288055,-0.8671092911927487,0,0,0.5666666666666667,count_vs_dqn,1.0,1.0,1.0,confirmatory_replication_after_diagnostic_discovery
