environment_key,environment,agent,target_type,target_definition,aggregation_level,requested_coverage,realized_coverage,retained_rows,total_rows,selective_risk,selective_risk_ci_low,selective_risk_ci_high,bootstrap_available_seed_count,source_file
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.9269791666666667,0.9136432291666667,0.9394791666666666,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.35520833333333335,0.285390625,0.428125,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.3133333333333333,0.26499999999999996,0.36041666666666666,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.42,0.38353645833333333,0.459375,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.5625,0.5352743055555554,0.5915347222222221,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.6545833333333333,0.6331197916666667,0.6766666666666664,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.9958333333333333,0.9895833333333334,1.0,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.9770833333333334,0.9625,0.9883333333333334,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.6329166666666667,0.5931250000000001,0.6697968750000001,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.6172222222222221,0.5909722222222222,0.6423645833333332,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.6998958333333334,0.6810390625,0.7180234375,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,tolerance_knn_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.0,0.0,0.0,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,tolerance_knn_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.085,0.055,0.11667708333333329,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,tolerance_knn_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.5191666666666667,0.49790625000000005,0.540421875,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,tolerance_knn_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.6363888888888888,0.6204097222222223,0.6512499999999999,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,tolerance_knn_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.7041666666666665,0.6928098958333333,0.7165625000000001,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,300,3000,0.84,0.7866666666666667,0.8866666666666667,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,750,3000,0.8240000000000001,0.782666666666667,0.8666666666666669,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,1500,3000,0.8093333333333333,0.782,0.8366666666666666,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,2250,3000,0.8022222222222222,0.7764333333333332,0.8257777777777775,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,3000,3000,0.8076666666666665,0.7873333333333332,0.827,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.1,0.10101010101010101,300,2970,0.7180639492561383,0.632942837860322,0.7904086964585606,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.25,0.2521885521885522,749,2970,0.7529242756173501,0.698023093792392,0.806678882528886,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5016835016835017,1490,2970,0.7619663385749793,0.7295665511668171,0.793293040803451,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.75,0.7538720538720539,2239,2970,0.7598854914031496,0.7305238853822899,0.7872569207465808,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,exact_count_gate,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,2970,2970,0.7694021533823495,0.7452650800835176,0.793501925564567,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,300,3000,0.64,0.5733333333333334,0.7033333333333334,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,750,3000,0.6733333333333333,0.632,0.7133333333333334,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
