environment_key,environment,agent,target_type,target_definition,aggregation_level,bin_index,bin_low,bin_high,n_rows,n_seeds,mean_support_score,observed_target_rate,observed_rate_ci_low,observed_rate_ci_high,bootstrap_available_seed_count,calibration_gap_descriptive,source_file
application_goal_shift,support-final-application-goal-shift,exact_count_gate,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,0,0.0,0.1,9600,30,0.0,0.06510416666666666,0.0575,0.07385937499999996,30,0.06510416666666666,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,0,0.0,0.1,2018,30,0.007940368341939612,0.06059498744262011,0.04611355495115432,0.07522811536638208,30,0.0526546191006805,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,1,0.1,0.2,565,22,0.14521963741356858,0.05102204237842534,0.024152748477881455,0.08728767796919391,22,0.09419759503514324,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,2,0.2,0.30000000000000004,548,25,0.25271852558384417,0.07409050579050579,0.030457578440078438,0.12969667388167383,25,0.17862801979333837,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,3,0.30000000000000004,0.4,1030,28,0.3452649893768341,0.09969670782417174,0.055996090983695825,0.15178656453764017,28,0.24556828155266236,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,4,0.4,0.5,548,20,0.4472011633030207,0.03151496119396961,0.01423328891168157,0.0508886588983522,20,0.41568620210905105,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,5,0.5,0.6000000000000001,47,3,0.5088447480412956,0.33015873015873015,0.0,0.8000000000000002,3,0.1786860178825655,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,6,0.6000000000000001,0.7000000000000001,2,2,0.675887325613479,0.5,0.0,1.0,2,0.17588732561347897,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,7,0.7000000000000001,0.8,4842,30,0.7369754935705484,0.4733274388597656,0.43818899714967807,0.5084291693122983,30,0.2636480547107828,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,0,0.0,0.1,1671,30,0.025266963385132936,0.07498034044713092,0.05527229950761825,0.0958621612552468,30,0.049713377061997986,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,1,0.1,0.2,2045,30,0.15899165466002135,0.07143457582011968,0.05347661187810744,0.0917831785545721,30,0.08755707883990167,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,2,0.2,0.30000000000000004,11,7,0.24813390642919061,0.19047619047619047,0.0,0.4761904761904762,7,0.05765771595300015,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,3,0.30000000000000004,0.4,6,5,0.3582383361250638,0.0,0.0,0.0,5,0.3582383361250638,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,4,0.4,0.5,6,6,0.45159903435592713,0.0,0.0,0.0,6,0.45159903435592713,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,5,0.5,0.6000000000000001,27,18,0.5621212292128321,0.1388888888888889,0.0,0.3055555555555556,18,0.42323234032394325,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,6,0.6000000000000001,0.7000000000000001,5834,30,0.6888198815288937,0.4320953015125796,0.40841964720679563,0.4546252367861973,30,0.25672458001631415,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_success,evaluation episode success indicator,evaluation_episode_clustered_by_seed,0,0.0,0.1,50,18,0.04929248533064541,0.14259259259259258,0.018518518518518517,0.30925925925925923,18,0.09330010726194717,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
