environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-v1,mean_return,count_gated_tau_20,dqn,30,487.0,487.0,487.0,487.0,inf,1.0,0.0,4.320463057827488e-08,1.862645149230957e-09,30,0,0,1.0,0.0,4.320463057827488e-07,2.7939677238464355e-08
CliffWalking-v1,mean_return,count_gated_tau_20,fixed_hybrid,30,130.73333333333332,2.0,65.53333333333333,211.63333333333333,0.5982858932803711,1.0,0.0027240978641641755,0.00015138248214312665,7.62939453125e-06,18,0,12,1.0,0.016344587184985052,0.0009082948928587598,4.57763671875e-05
CliffWalking-v1,mean_return,count_gated_tau_20,random,30,4946.830000000001,5006.933333333333,4868.1999166666665,5022.323,22.39713716662902,1.0,6.112170970874239e-41,1.862645149230957e-09,1.862645149230957e-09,30,0,0,1.0,7.94582226213651e-40,2.7939677238464355e-08,2.7939677238464355e-08
CliffWalking-v1,mean_return,count_gated_tau_20,reliability_gated,30,130.53333333333333,2.0,50.1,211.5,0.5970370706603261,1.0,0.0027724877161567334,0.0003320726967999356,3.0517578125e-05,16,0,14,1.0,0.016344587184985052,0.0013282907871997424,0.0001220703125
CliffWalking-v1,mean_return,count_gated_tau_20,tabular,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn,fixed_hybrid,30,-356.26666666666665,-485.0,-421.46666666666664,-275.3666666666667,-1.6304129595565036,-1.0,8.055344581558896e-10,2.6242312568665717e-05,4.76837158203125e-07,0,22,8,0.0,6.443900412587984e-09,0.00018369618798066002,3.814697265625e-06
CliffWalking-v1,mean_return,dqn,random,30,4459.83,4519.933333333333,4381.1999166666665,4535.323,20.192208798330864,1.0,1.226727961340283e-39,1.862645149230957e-09,1.862645149230957e-09,30,0,0,1.0,1.3494007574743113e-38,2.7939677238464355e-08,2.7939677238464355e-08
CliffWalking-v1,mean_return,dqn,reliability_gated,30,-356.46666666666664,-485.0,-436.9,-275.5,-1.6304173732486027,-1.0,8.05487551573498e-10,2.170808277434625e-05,4.76837158203125e-07,0,22,8,0.0,6.443900412587984e-09,0.00017366466219477,3.814697265625e-06
CliffWalking-v1,mean_return,dqn,tabular,30,-487.0,-487.0,-487.0,-487.0,-inf,-1.0,0.0,4.320463057827488e-08,1.862645149230957e-09,0,30,0,0.0,0.0,4.320463057827488e-07,2.7939677238464355e-08
CliffWalking-v1,mean_return,fixed_hybrid,random,30,4816.096666666667,4852.083333333334,4720.297611111111,4909.026083333333,17.906639977462863,1.0,3.960564770162208e-38,1.862645149230957e-09,1.862645149230957e-09,30,0,0,1.0,3.960564770162208e-37,2.7939677238464355e-08,2.7939677238464355e-08
CliffWalking-v1,mean_return,fixed_hybrid,reliability_gated,30,-0.2,0.0,-113.36666666666666,112.76666666666667,-0.0006403859321219681,-0.047619047619047616,0.9972254128317934,0.8474818537360859,1.0,10,11,9,0.47619047619047616,1.0,1.0,1.0
CliffWalking-v1,mean_return,fixed_hybrid,tabular,30,-130.73333333333332,-2.0,-211.63333333333333,-65.53333333333333,-0.5982858932803711,-1.0,0.0027240978641641755,0.00015138248214312665,7.62939453125e-06,0,18,12,0.0,0.016344587184985052,0.0009082948928587598,4.57763671875e-05
CliffWalking-v1,mean_return,random,reliability_gated,30,-4816.296666666667,-4926.700000000001,-4928.1558888888885,-4702.31763888889,-14.72944718903481,-1.0,1.1194662504553285e-35,1.862645149230957e-09,1.862645149230957e-09,0,30,0,0.0,1.0075196254097957e-34,2.7939677238464355e-08,2.7939677238464355e-08
CliffWalking-v1,mean_return,random,tabular,30,-4946.830000000001,-5006.933333333333,-5022.323,-4868.1999166666665,-22.39713716662902,-1.0,6.112170970874239e-41,1.862645149230957e-09,1.862645149230957e-09,0,30,0,0.0,7.94582226213651e-40,2.7939677238464355e-08,2.7939677238464355e-08
CliffWalking-v1,mean_return,reliability_gated,tabular,30,-130.53333333333333,-2.0,-211.5,-50.1,-0.5970370706603261,-1.0,0.0027724877161567334,0.0003320726967999356,3.0517578125e-05,0,16,14,0.0,0.016344587184985052,0.0013282907871997424,0.0001220703125
CliffWalking-v1,success_rate,count_gated_tau_20,dqn,30,1.0,1.0,1.0,1.0,inf,1.0,0.0,4.320463057827488e-08,1.862645149230957e-09,30,0,0,1.0,0.0,6.480694586741232e-07,2.7939677238464355e-08
CliffWalking-v1,success_rate,count_gated_tau_20,fixed_hybrid,30,0.26666666666666666,0.0,0.13333333333333333,0.43333333333333335,0.5928871321888775,1.0,0.002939291095845918,0.0046777349810472576,0.0078125,8,0,22,1.0,0.01763574657507551,0.028066409886283547,0.0625
CliffWalking-v1,success_rate,count_gated_tau_20,random,30,0.9333333333333332,0.9333333333333333,0.9199999999999999,0.9466666666666668,24.460494465028386,1.0,4.7662948158145456e-42,1.4169661684349726e-06,1.862645149230957e-09,30,0,0,1.0,6.196183260558909e-41,1.8420560189654643e-05,2.7939677238464355e-08
CliffWalking-v1,success_rate,count_gated_tau_20,reliability_gated,30,0.26666666666666666,0.0,0.1,0.43333333333333335,0.5928871321888776,1.0,0.002939291095845918,0.0046777349810472576,0.0078125,8,0,22,1.0,0.01763574657507551,0.028066409886283547,0.0625
