agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
fuzzy_kappa_025,return_auc,1,4.5,4.5,4.5,4.5
fuzzy_kappa_4,return_auc,1,4.5,4.5,4.5,4.5
fuzzy_shoulder_conservative,return_auc,1,4.5,4.5,4.5,4.5
fuzzy_tau_20,return_auc,1,4.5,4.5,4.5,4.5
fuzzy_tau_5,return_auc,1,4.5,4.5,4.5,4.5
fuzzy_tau_80,return_auc,1,4.5,4.5,4.5,4.5
fuzzy_zero_support_abstain,return_auc,1,1.0,1.0,1.0,1.0
fuzzy_kappa_025,success_rate_auc,1,3.5,3.5,3.5,3.5
fuzzy_kappa_4,success_rate_auc,1,3.5,3.5,3.5,3.5
fuzzy_shoulder_conservative,success_rate_auc,1,3.5,3.5,3.5,3.5
fuzzy_tau_20,success_rate_auc,1,3.5,3.5,3.5,3.5
fuzzy_tau_5,success_rate_auc,1,3.5,3.5,3.5,3.5
fuzzy_tau_80,success_rate_auc,1,3.5,3.5,3.5,3.5
fuzzy_zero_support_abstain,success_rate_auc,1,7.0,7.0,7.0,7.0
fuzzy_kappa_025,mean_return,1,4.5,4.5,4.5,4.5
fuzzy_kappa_4,mean_return,1,4.5,4.5,4.5,4.5
fuzzy_shoulder_conservative,mean_return,1,4.5,4.5,4.5,4.5
fuzzy_tau_20,mean_return,1,4.5,4.5,4.5,4.5
fuzzy_tau_5,mean_return,1,4.5,4.5,4.5,4.5
fuzzy_tau_80,mean_return,1,4.5,4.5,4.5,4.5
fuzzy_zero_support_abstain,mean_return,1,1.0,1.0,1.0,1.0
