environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p,analysis_status
ApplicationNavigation-deployment-goal-shift,return_auc,fuzzy_tau_5,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,tau_5_vs_tau_20,1.0,1.0,1.0,completed_dependency_free_fuzzy_parameter_smoke_ablation
ApplicationNavigation-deployment-goal-shift,return_auc,fuzzy_tau_80,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,tau_80_vs_tau_20,1.0,1.0,1.0,completed_dependency_free_fuzzy_parameter_smoke_ablation
ApplicationNavigation-deployment-goal-shift,return_auc,fuzzy_kappa_025,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,kappa_025_vs_kappa_1,1.0,1.0,1.0,completed_dependency_free_fuzzy_parameter_smoke_ablation
ApplicationNavigation-deployment-goal-shift,return_auc,fuzzy_kappa_4,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,kappa_4_vs_kappa_1,1.0,1.0,1.0,completed_dependency_free_fuzzy_parameter_smoke_ablation
ApplicationNavigation-deployment-goal-shift,return_auc,fuzzy_shoulder_conservative,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,shoulder_conservative_vs_triangular_default,1.0,1.0,1.0,completed_dependency_free_fuzzy_parameter_smoke_ablation
ApplicationNavigation-deployment-goal-shift,return_auc,fuzzy_zero_support_abstain,fuzzy_tau_20,2,1.74625,1.74625,1.3074999999999997,2.1850000000000005,2.8143252801071394,1.0,0.15670861205006983,0.5,0.5,2,0,0,0.0,0.0,0,0,1.0,zero_support_abstain_vs_zero_support_neural,0.9402516723004191,1.0,1.0,completed_dependency_free_fuzzy_parameter_smoke_ablation
