algorithm,environment,training_seed,timestep,mean_checkpoint_return,median_checkpoint_return
CrossQ,HalfCheetah-v5,22000,50000,7364.925899328259,7432.780337219898
CrossQ,HalfCheetah-v5,22000,100000,8892.94967365901,8898.075067297666
CrossQ,HalfCheetah-v5,22001,50000,2140.404243126947,2136.748108407735
CrossQ,HalfCheetah-v5,22001,100000,2284.529972048102,2280.55256950733
CrossQ,HalfCheetah-v5,22002,50000,5059.519710533439,5033.063270106776
CrossQ,HalfCheetah-v5,22002,100000,5467.286554691314,5486.532413717416
CrossQ,HalfCheetah-v5,22003,50000,4940.4180732127925,4915.0055091550685
CrossQ,HalfCheetah-v5,22003,100000,5548.896664852514,5593.215819076865
CrossQ,HalfCheetah-v5,22004,50000,5586.019492485513,5555.661814691461
CrossQ,HalfCheetah-v5,22004,100000,5946.358894813371,5972.097842243872
CrossQ,Walker2d-v5,22000,50000,3098.3333228298607,2699.16081900689
CrossQ,Walker2d-v5,22000,100000,4558.8644405655505,4554.331991491851
CrossQ,Walker2d-v5,22001,50000,671.9748616238099,588.245866495263
CrossQ,Walker2d-v5,22001,100000,2634.458541343086,3510.229134881911
CrossQ,Walker2d-v5,22002,50000,3444.738952063012,3744.4971125397205
CrossQ,Walker2d-v5,22002,100000,3281.877479299593,3481.1542036926703
CrossQ,Walker2d-v5,22003,50000,852.4523181737644,897.8224328773125
CrossQ,Walker2d-v5,22003,100000,4771.9934262079,4770.725745094804
CrossQ,Walker2d-v5,22004,50000,247.77818307027468,195.6369500488885
CrossQ,Walker2d-v5,22004,100000,2213.543466382148,226.32340331040578
SAC,HalfCheetah-v5,22000,50000,2771.1994287750776,2798.040812052297
SAC,HalfCheetah-v5,22000,100000,4092.4412886800974,4078.668231876596
SAC,HalfCheetah-v5,22001,50000,1022.2511169246843,1034.2775234985415
SAC,HalfCheetah-v5,22001,100000,1389.5134261881199,1409.6577901256028
SAC,HalfCheetah-v5,22002,50000,1072.953479299901,1080.2142698251064
SAC,HalfCheetah-v5,22002,100000,1185.8634898181858,1193.4530670255695
SAC,HalfCheetah-v5,22003,50000,3069.853698528201,3063.2886142660363
SAC,HalfCheetah-v5,22003,100000,4261.296461850853,4263.320318048766
SAC,HalfCheetah-v5,22004,50000,2808.0539319520585,2812.8481990057344
SAC,HalfCheetah-v5,22004,100000,4341.580969628206,4353.312155293659
SAC,Walker2d-v5,22000,50000,479.9506441611114,455.8527455465913
SAC,Walker2d-v5,22000,100000,485.5873409564191,464.66005552981403
SAC,Walker2d-v5,22001,50000,376.77650663771817,357.95301569073433
SAC,Walker2d-v5,22001,100000,534.4460884776886,504.8150428460547
SAC,Walker2d-v5,22002,50000,1185.2008750186512,1165.9063747879604
SAC,Walker2d-v5,22002,100000,1162.975492565833,1209.0988786588223
SAC,Walker2d-v5,22003,50000,400.6318206794659,383.60103657233196
SAC,Walker2d-v5,22003,100000,483.1290553979952,321.01959277106073
SAC,Walker2d-v5,22004,50000,664.3412000507309,678.0259418036692
SAC,Walker2d-v5,22004,100000,830.6499694282832,839.0455074142978
TQC,HalfCheetah-v5,22000,50000,3176.511315930495,3326.2371583991962
TQC,HalfCheetah-v5,22000,100000,4558.821948798136,4537.948367678292
TQC,HalfCheetah-v5,22001,50000,2831.6856578264224,2829.4607575202203
TQC,HalfCheetah-v5,22001,100000,4422.739090252228,4436.239506112285
TQC,HalfCheetah-v5,22002,50000,540.0220462869477,762.2844992957754
TQC,HalfCheetah-v5,22002,100000,1494.568782918172,1483.3020117353085
TQC,HalfCheetah-v5,22003,50000,2642.9163596767494,2858.1251105877755
TQC,HalfCheetah-v5,22003,100000,4070.7529276328482,4063.0524516512473
TQC,HalfCheetah-v5,22004,50000,3123.2501573029035,3361.826537155241
TQC,HalfCheetah-v5,22004,100000,4596.297393101585,4621.036723806492
TQC,Walker2d-v5,22000,50000,749.8212134988023,776.2757955493923
TQC,Walker2d-v5,22000,100000,883.7101940552186,876.1563842055118
TQC,Walker2d-v5,22001,50000,625.9754312414233,549.4867443082067
TQC,Walker2d-v5,22001,100000,912.4215666039823,872.092870512925
TQC,Walker2d-v5,22002,50000,651.1518245482747,476.9544498040283
TQC,Walker2d-v5,22002,100000,1163.0292521776682,1116.2606887746756
TQC,Walker2d-v5,22003,50000,380.80049854206516,379.39583734979976
TQC,Walker2d-v5,22003,100000,1131.5971014511206,1176.341654033565
TQC,Walker2d-v5,22004,50000,464.5923755128283,438.6865288183474
TQC,Walker2d-v5,22004,100000,370.4142700929418,393.1824840370932
