algorithm,environment,training_seed,condition,mean_return,median_return,cvar10_return,decision_weighted_support_coverage,episode_mean_support_coverage,exact_recurrence_rate_episode_mean,unhealthy_termination_rate,truncation_rate,mean_critic_gap,mean_tqc_quantile_iqr,final_eval_episodes,final_eval_decisions
CrossQ,HalfCheetah-v5,22000,ACT_GAIN_075,4767.392108906754,4769.106940126642,4661.106355675997,0.9999666666666667,0.9999666666666668,0.0,,1.0,1.4261590576171874,,30,30000
CrossQ,HalfCheetah-v5,22000,COMBINED_DELAY_GAIN,2167.8668867793585,2163.3311712524587,2141.9469510278336,0.9991666666666666,0.9991666666666666,0.0,,1.0,1.9067372233072921,,30,30000
CrossQ,HalfCheetah-v5,22000,NOMINAL,8913.882694005233,8927.772891960672,8680.12363431655,0.9955666666666667,0.9955666666666666,0.0,,1.0,1.7730128987630207,,30,30000
CrossQ,HalfCheetah-v5,22000,OBS_DELAY_1,2234.345437560762,2223.4341403905983,2119.402989778262,0.8008,0.8008,0.0,,1.0,2.8437063598632815,,30,30000
CrossQ,HalfCheetah-v5,22001,ACT_GAIN_075,1334.0454748525656,1509.8668398658215,-317.17502824711147,0.9796,0.9796,0.0,,1.0,0.6238905537923178,,30,30000
CrossQ,HalfCheetah-v5,22001,COMBINED_DELAY_GAIN,394.8900602152056,395.67496017849453,372.9600447046898,0.9985,0.9984999999999999,0.0,,1.0,0.6777231750488283,,30,30000
CrossQ,HalfCheetah-v5,22001,NOMINAL,2268.7653024678075,2274.6385231036074,2221.409201624787,0.9990333333333333,0.9990333333333331,0.0,,1.0,0.4711218668619791,,30,30000
CrossQ,HalfCheetah-v5,22001,OBS_DELAY_1,363.53804535086334,361.89829855984703,322.37911573578594,0.8177333333333333,0.8177333333333333,0.0,,1.0,0.9075490010579426,,30,30000
CrossQ,HalfCheetah-v5,22002,ACT_GAIN_075,2324.682861058745,2333.371636420487,2252.8989376869827,1.0,1.0,0.0,,1.0,1.8163873901367185,,30,30000
CrossQ,HalfCheetah-v5,22002,COMBINED_DELAY_GAIN,832.7755878502936,834.6054399741626,793.3888825891551,0.9972,0.9972,0.0,,1.0,2.3467788899739586,,30,30000
CrossQ,HalfCheetah-v5,22002,NOMINAL,5495.693797356767,5497.397298901947,5373.480512086621,0.9999,0.9999,0.0,,1.0,0.7072632039388022,,30,30000
CrossQ,HalfCheetah-v5,22002,OBS_DELAY_1,-167.97814581677423,-170.364754203534,-207.00735917624152,0.020866666666666665,0.020866666666666676,0.0,,1.0,12.135969655354819,,30,30000
