algorithm,environment,condition,mean_of_seed_mean_return,sd_seed_mean_return,mean_support_coverage,sd_support_coverage,mean_cvar10
CrossQ,HalfCheetah-v5,ACT_GAIN_075,2720.8048637192874,1265.5482703492246,0.9956933333333333,0.009000783916477,2325.4002270362403
CrossQ,HalfCheetah-v5,COMBINED_DELAY_GAIN,985.0081295138416,684.5336521121167,0.9946466666666666,0.007254676652569242,871.7308595537722
CrossQ,HalfCheetah-v5,NOMINAL,5610.631657565738,2355.0157426644682,0.9984400000000001,0.0017464885405355627,5465.069151118225
CrossQ,HalfCheetah-v5,OBS_DELAY_1,530.574876863088,978.044257901175,0.7086466666666666,0.39114023032382866,469.14015418335475
CrossQ,Walker2d-v5,ACT_GAIN_075,2484.3220212399046,1765.9900897425262,0.9761358622074784,0.0246285830293753,1646.0613004101274
CrossQ,Walker2d-v5,COMBINED_DELAY_GAIN,1758.9687341645354,1752.9663461885389,0.9396615336781405,0.04462452849373807,1246.141524461443
CrossQ,Walker2d-v5,NOMINAL,4109.78572466796,647.4325445048395,0.99341466004636,0.006033553615014684,2542.138471617482
CrossQ,Walker2d-v5,OBS_DELAY_1,3365.5046243054558,1856.3679801116407,0.948137025699678,0.0769264815286836,2054.1362263965493
SAC,HalfCheetah-v5,ACT_GAIN_075,2147.728927813312,898.578441411179,0.99962,0.0007942851433137227,2099.801169968964
SAC,HalfCheetah-v5,COMBINED_DELAY_GAIN,1047.4625921196143,607.9211684425686,0.99426,0.0039008118813054164,845.0179413816098
SAC,HalfCheetah-v5,NOMINAL,3094.043836639027,1622.4706044684165,0.99534,0.0054131219170538425,2967.7229494639496
SAC,HalfCheetah-v5,OBS_DELAY_1,601.7293815163849,361.1919558943693,0.8557866666666667,0.056446413132771864,312.89569854910894
SAC,Walker2d-v5,ACT_GAIN_075,545.3456673682473,107.38352837286594,0.9605534006139068,0.04280399409121566,314.433301092034
SAC,Walker2d-v5,COMBINED_DELAY_GAIN,476.4762177482311,58.29771674105492,0.9630872094226888,0.042748213815496226,314.4300535882812
SAC,Walker2d-v5,NOMINAL,705.317632370601,307.7583944711397,0.9207771356633346,0.08804230625167385,350.97962382195914
SAC,Walker2d-v5,OBS_DELAY_1,469.35362996479,125.90961116034491,0.8764745261358721,0.0797217393048699,170.1974955621443
TQC,HalfCheetah-v5,ACT_GAIN_075,2527.911923538399,792.1687999987311,0.9996333333333333,0.0006459274125025382,2279.8173508608998
TQC,HalfCheetah-v5,COMBINED_DELAY_GAIN,885.3349372140717,363.690020992902,0.9940533333333332,0.007398445782730322,716.9476772857195
TQC,HalfCheetah-v5,NOMINAL,3806.9015757522793,1316.595645311316,0.9971133333333334,0.002427000892734346,3583.0569308820027
TQC,HalfCheetah-v5,OBS_DELAY_1,511.1347883076727,245.60271257431904,0.8632,0.09827579389995621,185.80508833487707
TQC,Walker2d-v5,ACT_GAIN_075,747.5038253276155,168.02726604751362,0.96843756290423,0.022042694301417767,592.4771450787302
TQC,Walker2d-v5,COMBINED_DELAY_GAIN,807.9546534450153,247.3814689774509,0.9300583997084025,0.07177064487598263,482.8387532053881
TQC,Walker2d-v5,NOMINAL,869.0877972492165,269.73202609189735,0.9595983014177891,0.026361900288645688,320.14970844213235
TQC,Walker2d-v5,OBS_DELAY_1,690.5595286686082,276.47014654409224,0.8394278747177047,0.0862662419528643,229.58957780226893
