inferential_status,family,algorithm,environment,condition,contrast,n_pairs,mean_paired_difference,median_paired_difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,paired_wins,paired_losses,paired_ties,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,holm_p,holm_significant_0_05
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,SAC,HalfCheetah-v5,OBS_DELAY_1,shift_minus_nominal_support_coverage,5,-0.13955333333333333,-0.1469666666666667,-0.18623333333333333,-0.09195333333333333,0,5,0,-5.109847960691133,0.006934896508527278,0.0,0.0625,0.08321875810232733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,SAC,HalfCheetah-v5,ACT_GAIN_075,shift_minus_nominal_support_coverage,5,0.004279999999999995,0.0026000000000000467,0.0010666666666666602,0.00893999999999997,5,0,0,1.7854251317281873,0.1487410796114622,0.0,0.0625,0.8924464776687733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,SAC,Walker2d-v5,OBS_DELAY_1,shift_minus_nominal_support_coverage,5,-0.044302609527462525,-0.029278412731576275,-0.07535416301438327,-0.020204892215147763,0,5,0,-2.7954257620329725,0.049039755975342054,0.0,0.0625,0.44987755858689116,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,SAC,Walker2d-v5,ACT_GAIN_075,shift_minus_nominal_support_coverage,5,0.03977626495057227,0.01461853978671046,-0.004522482966674413,0.10793007114821525,4,1,0,1.1844091360119995,0.3018192339804959,3.0,0.3125,0.8924464776687733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,CrossQ,HalfCheetah-v5,OBS_DELAY_1,shift_minus_nominal_support_coverage,5,-0.28979333333333335,-0.18130000000000002,-0.6350533333333334,-0.07252666666666671,0,5,0,-1.6539218187023108,0.17348643272080216,0.0,0.0625,0.8924464776687733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,CrossQ,HalfCheetah-v5,ACT_GAIN_075,shift_minus_nominal_support_coverage,5,-0.002746666666666675,9.999999999998899e-05,-0.011419999999999986,0.00264000000000002,3,2,0,-0.6460279683940005,0.5534561017451228,7.0,1.0,0.8924464776687733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,CrossQ,Walker2d-v5,OBS_DELAY_1,shift_minus_nominal_support_coverage,5,-0.045277634346682125,-0.01686288223180632,-0.11358363288709272,-0.004852172433619706,1,4,0,-1.352621982130874,0.24758290055605528,1.0,0.125,0.8924464776687733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,CrossQ,Walker2d-v5,ACT_GAIN_075,shift_minus_nominal_support_coverage,5,-0.017278797838881733,-0.02113409060053406,-0.03410068480842956,-0.0004569108693339041,1,4,0,-1.7059897974813631,0.16320554068189702,2.0,0.1875,0.8924464776687733,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,TQC,HalfCheetah-v5,OBS_DELAY_1,shift_minus_nominal_support_coverage,5,-0.13391333333333336,-0.11393333333333333,-0.21167333333333332,-0.0639866666666667,0,5,0,-3.094725443877716,0.036406915959176125,0.0,0.0625,0.4004760755509374,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,TQC,HalfCheetah-v5,ACT_GAIN_075,shift_minus_nominal_support_coverage,5,0.002520000000000011,0.0014999999999999458,0.0007666666666666933,0.00479333333333336,5,0,0,2.093419945117957,0.10442638691044683,0.0,0.0625,0.7309847083731278,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,TQC,Walker2d-v5,OBS_DELAY_1,shift_minus_nominal_support_coverage,5,-0.12017042670008445,-0.07179211802564756,-0.2113255455615329,-0.06316983876094442,0,5,0,-2.659172276256205,0.0564390446286827,0.0,0.0625,0.4515123570294616,False
SUPPLEMENTAL_NONCONFIRMATORY_SENSITIVITY,S2,TQC,Walker2d-v5,ACT_GAIN_075,shift_minus_nominal_support_coverage,5,0.008839261486440786,0.011847083546871806,0.002934143363535746,0.013586523381712245,4,1,0,2.880560047533791,0.04498775585868912,1.0,0.125,0.44987755858689116,False
