environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
MiniGrid-Empty-5x5,count_gated_tau_1,0,20000,0.0,0.0,100.0,44.46718119998695,20000,1235,36.816222699999344,7.65095849998761,0.9971193784016992,0.0,1.0,1.0,32.0,1.8408111349999672,0.0
MiniGrid-Empty-5x5,count_gated_tau_1,1,20000,0.0,0.0,100.0,44.29978500003927,20000,1235,36.31941290007671,7.980372099962551,0.9967201497603024,0.0,1.0,1.0,32.0,1.8159706450038358,0.0
MiniGrid-Empty-5x5,count_gated_tau_1,2,20000,0.0,0.0,100.0,44.38911950000329,20000,1235,36.39638229989214,7.992737200111151,0.9974041292589536,0.0,1.0,1.0,32.0,1.819819114994607,0.0
MiniGrid-Empty-5x5,count_gated_tau_1,3,20000,0.9549999999999998,1.0,5.0,42.98883690004004,20000,1235,36.82646300003398,6.16237390000606,0.9975041294414674,0.0,1.0,1.0,32.0,1.841323150001699,0.15916666666666662
MiniGrid-Empty-5x5,count_gated_tau_1,4,20000,0.0,0.0,100.0,44.21816950000357,20000,1235,36.49339780001901,7.724771699984558,0.9974281050104772,0.0,1.0,1.0,32.0,1.8246698900009506,0.0
MiniGrid-Empty-5x5,count_gated_tau_10,0,20000,0.0,0.0,100.0,43.92136589996517,20000,1235,36.14763209997909,7.773733799986076,0.9724673863419064,0.0,1.0,1.0,32.0,1.8073816049989546,0.0
MiniGrid-Empty-5x5,count_gated_tau_10,1,20000,0.0,0.0,100.0,45.11089979996905,20000,1235,36.89620580000337,8.214693999965675,0.9703485686206846,0.0,1.0,1.0,32.0,1.8448102900001686,0.0
MiniGrid-Empty-5x5,count_gated_tau_10,2,20000,0.9549999999999998,1.0,5.0,41.27788950002287,20000,1235,37.09354859997984,4.184340900043026,0.9801329020087508,0.0,1.0,1.0,32.0,1.854677429998992,0.47749999999999987
MiniGrid-Empty-5x5,count_gated_tau_10,3,20000,0.0,0.0,100.0,43.9958433000138,20000,1235,36.24600990006002,7.749833399953786,0.9781405892756428,0.0,1.0,1.0,32.0,1.8123004950030008,0.0
MiniGrid-Empty-5x5,count_gated_tau_10,4,20000,0.946,1.0,6.0,41.1078748999862,20000,1235,36.91187090001768,4.196003999968525,0.9744560175151324,0.0,1.0,1.0,32.0,1.845593545000884,0.31683333333333336
MiniGrid-Empty-5x5,count_gated_tau_100,0,20000,0.0,0.0,100.0,43.01887790003093,20000,1235,36.997707100061234,6.021170799969696,0.8441451693617188,0.0,1.0,1.0,32.0,1.8498853550030616,0.15916666666666662
MiniGrid-Empty-5x5,count_gated_tau_100,1,20000,0.0,0.0,100.0,44.77870080003049,20000,1235,36.58340520004276,8.19529559998773,0.8178561127927101,0.0,1.0,1.0,32.0,1.829170260002138,0.0
MiniGrid-Empty-5x5,count_gated_tau_100,2,20000,0.946,1.0,6.0,41.39235349994851,20000,1235,36.8790888999938,4.513264599954709,0.8243188321398371,0.0,1.0,1.0,32.0,1.84395444499969,0.473
MiniGrid-Empty-5x5,count_gated_tau_100,3,20000,0.9549999999999998,1.0,5.0,43.142589700000826,20000,1235,37.03234989993507,6.110239800065756,0.8402987672671021,0.0,1.0,1.0,32.0,1.8516174949967534,0.15916666666666662
MiniGrid-Empty-5x5,count_gated_tau_100,4,20000,0.9549999999999998,1.0,5.0,40.1304761999636,20000,1235,37.71622300002491,2.4142531999386847,0.8640203156360372,0.0,1.0,1.0,32.0,1.8858111500012456,0.6366666666666665
MiniGrid-Empty-5x5,count_gated_tau_20,0,20000,0.0,0.0,100.0,42.4575274999952,20000,1235,36.42115220002597,6.036375299969222,0.947902234111818,0.0,1.0,1.0,32.0,1.8210576100012985,0.15916666666666662
MiniGrid-Empty-5x5,count_gated_tau_20,1,20000,0.946,1.0,6.0,42.74684909998905,20000,1235,36.63682910002535,6.110019999963697,0.95178162646139,0.0,1.0,1.0,32.0,1.8318414550012676,0.15766666666666668
MiniGrid-Empty-5x5,count_gated_tau_20,2,20000,0.946,1.0,6.0,43.95698909997009,20000,1235,37.496839999977965,6.4601490999921225,0.9564286406465464,0.0,1.0,1.0,32.0,1.8748419999988983,0.15766666666666668
MiniGrid-Empty-5x5,count_gated_tau_20,3,20000,0.9549999999999998,1.0,5.0,40.36918159999186,20000,1235,36.34393600007752,4.025245599914342,0.9592219141846424,0.0,1.0,1.0,32.0,1.817196800003876,0.31833333333333325
MiniGrid-Empty-5x5,count_gated_tau_20,4,20000,0.0,0.0,100.0,42.65537009999389,20000,1235,36.48271850001765,6.172651599976234,0.9549669688259582,0.0,1.0,1.0,32.0,1.8241359250008824,0.15916666666666662
MiniGrid-Empty-5x5,count_gated_tau_5,0,20000,0.946,1.0,6.0,40.95050679997075,20000,1235,36.87245640007313,4.07805039989762,0.987367485344804,0.0,1.0,1.0,32.0,1.8436228200036566,0.473
MiniGrid-Empty-5x5,count_gated_tau_5,1,20000,0.0,0.0,100.0,44.44136659998912,20000,1235,36.39585019997321,8.045516400015913,0.9855751121594484,0.0,1.0,1.0,32.0,1.8197925099986605,0.0
MiniGrid-Empty-5x5,count_gated_tau_5,2,20000,0.0,0.0,100.0,44.42147750000004,20000,1235,36.70196939999005,7.719508100009989,0.9870304173818236,0.0,1.0,1.0,32.0,1.8350984699995023,0.0
MiniGrid-Empty-5x5,count_gated_tau_5,3,20000,0.9549999999999998,1.0,5.0,42.42232660000445,20000,1235,36.36093829997117,6.061388300033286,0.9878301652458,0.0,1.0,1.0,32.0,1.8180469149985583,0.15916666666666662
MiniGrid-Empty-5x5,count_gated_tau_5,4,20000,0.0,0.0,100.0,44.237822700000834,20000,1235,36.65333290002309,7.584489799977746,0.9876547061375888,0.0,1.0,1.0,32.0,1.8326666450011544,0.0
MiniGrid-Empty-5x5,count_gated_tau_50,0,20000,0.0,0.0,100.0,42.17537780001294,20000,1235,36.38683410000522,5.788543700007722,0.9105600524712528,0.0,1.0,1.0,32.0,1.819341705000261,0.31533333333333335
MiniGrid-Empty-5x5,count_gated_tau_50,1,20000,0.0,0.0,100.0,44.697928199952,20000,1235,36.55241189996013,8.145516299991868,0.8931154817096707,0.0,1.0,1.0,32.0,1.8276205949980064,0.0
MiniGrid-Empty-5x5,count_gated_tau_50,2,20000,0.946,1.0,6.0,40.66774770000484,20000,1235,36.52274290006608,4.145004799938761,0.8963525166731684,0.0,1.0,1.0,32.0,1.826137145003304,0.473
MiniGrid-Empty-5x5,count_gated_tau_50,3,20000,0.0,0.0,100.0,45.42845010000747,20000,1235,36.944089199998416,8.484360900009051,0.9071163435963968,0.0,1.0,1.0,32.0,1.847204459999921,0.0
MiniGrid-Empty-5x5,count_gated_tau_50,4,20000,0.0,0.0,100.0,43.15412209997885,20000,1235,36.86264020000817,6.291481899970677,0.8944670812253163,0.0,1.0,1.0,32.0,1.8431320100004087,0.15916666666666662
