candidate,algorithm,batch_size,double_dqn,epsilon_decay_steps,hidden_size,learning_rate,replay_capacity,replay_warmup,target_update_interval,train_frequency,development_environment_count,seed_set,evaluation_interval_steps,evaluation_episodes,selection_rule,source_config
vanilla_dqn_h64,dqn,32,False,12000,64,0.001,50000,256,500,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
vanilla_dqn_h128,dqn,32,False,12000,128,0.001,50000,256,500,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
vanilla_dqn_lr3e4_h128,dqn,32,False,12000,128,0.0003,50000,256,500,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
vanilla_dqn_buffer100k,dqn,32,False,12000,128,0.0003,100000,512,500,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
vanilla_dqn_target250,dqn,32,False,12000,128,0.0003,100000,512,250,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
vanilla_dqn_target1000,dqn,32,False,12000,128,0.0003,100000,512,1000,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
double_dqn_lr3e4_h128,double_dqn,32,True,12000,128,0.0003,100000,512,1000,16,7,"[0,1,2,3,4]",2500,20,"Select the lowest mean environment rank in return_auc across all seven development environments. Break ties by lower worst-environment rank, then fewer gradient updates, then lexicographic agent name.",configs/dqn_tuning_development.json
