component,scope,input_dimension,action_count,hidden_size,exact_trainable_parameters,approximate_inference_macs,approximate_inference_flops,comparison_ops_approx,special_functions_approx,definition_and_exclusions,source
DQN,"one online-network inference, batch size 1",4,5,128,17797,17536,35072,0,0,"Vanilla DQN online Q-network. MACs sum Linear in_features*out_features; approximate FLOPs=2*MACs. Bias, ReLU, reductions, comparisons, memory traffic, target network, replay, and training are excluded.",configs/application_navigation_case_study.json; src/hybrid_q/agents.py
Double DQN,"one online-network inference, batch size 1",4,5,128,17797,17536,35072,0,0,"Same inference network as DQN; Double DQN changes training targets. MACs sum Linear in_features*out_features; approximate FLOPs=2*MACs. Bias, ReLU, reductions, comparisons, memory traffic, target network, replay, and training are excluded.",configs/application_navigation_case_study.json; src/hybrid_q/agents.py
Dueling Double DQN,"one online-network inference, batch size 1",4,5,128,17926,17664,35328,0,0,"Shared trunk with value and advantage heads; output combination excluded. MACs sum Linear in_features*out_features; approximate FLOPs=2*MACs. Bias, ReLU, reductions, comparisons, memory traffic, target network, replay, and training are excluded.",configs/application_navigation_case_study.json; src/hybrid_q/agents.py
Fuzzy mapping overhead,mapping only after the same two normalized scalar inputs,2,,,0,0,26,8,1,"Mapping-only estimate after two normalized scalar inputs: three triangular memberships, five rule weights, and a weighted-average consequent; special function is abs.",configs/application_navigation_case_study.json; src/hybrid_q/agents.py; src/hybrid_q/complexity.py
Same-input crisp mapping overhead,mapping only after the same two normalized scalar inputs,2,,,0,0,0,2,0,Mapping-only estimate after the same two normalized scalar inputs: two threshold comparisons and a Boolean branch.,configs/application_navigation_case_study.json; src/hybrid_q/agents.py; src/hybrid_q/complexity.py
