report_family,evidence_class,primary_confirmatory,environment_or_severity,contrast_name,left,right,metric,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,wins,losses,ties,raw_paired_t_p,report_holm_paired_t_p,global_holm_paired_t_p,raw_wilcoxon_p,report_holm_wilcoxon_p,global_holm_wilcoxon_p,source_file,source_row
application_navigation_case_study.planned,confirmatory,True,ApplicationNavigation-deployment-goal-shift,fuzzy_vs_support_abstain,fuzzy_support_adaptive,support_abstain_tau_20,return_auc,30,-2.520183333333333,-2.506216666666666,-2.9725659722222213,-2.0719958333333333,-1.9559351762077208,-0.9870967741935484,1,29,0,1.3520810380166695e-11,5.408324152066678e-11,8.518110539505018e-10,9.313225746154784e-09,2.7939677238464355e-08,6.053596735000609e-07,results/application_navigation_case_study/planned_contrasts.csv,3
application_navigation_case_study.planned,confirmatory,True,ApplicationNavigation-deployment-goal-shift,fuzzy_vs_tabular,fuzzy_support_adaptive,tabular,return_auc,30,-2.298941111111117,-2.085566666666672,-2.7659585555555606,-1.8675416666666724,-1.794749440084429,-0.9956989247311828,1,29,0,9.718548783022495e-11,2.9155646349067486e-10,6.0255002454739465e-09,3.725290298461914e-09,1.4901161193847656e-08,2.4586915969848633e-07,results/application_navigation_case_study/planned_contrasts.csv,5
application_risk_variants.planned,confirmatory,True,ApplicationNavigation-risk-adjusted-fallbacks,no_hold_vs_hold_penalized,support_no_hold,support_hold_penalized,risk_adjusted_score,30,0.0728908999942756,0.0765732053776803,0.0418071880392086,0.1029005563309525,0.8470583786693701,0.7849462365591398,26,4,0,6.901112479973223e-05,6.901112479973223e-05,0.0038646229887850047,5.5925920605659485e-05,5.5925920605659485e-05,0.0030759256333112717,results/application_risk_variants/planned_contrasts.csv,2
application_risk_variants.planned,confirmatory,True,ApplicationNavigation-risk-adjusted-fallbacks,shortest_path_vs_hold_penalized,support_shortest_path,support_hold_penalized,risk_adjusted_score,30,0.1645329311877371,0.1413414325531976,0.1204448728576859,0.20939037517438,1.3139542860424418,0.935483870967742,28,2,0,6.36445058545577e-08,1.2728901170911537e-07,3.6913813395643464e-06,2.551823854446411e-07,5.103647708892822e-07,1.607649028301239e-05,results/application_risk_variants/planned_contrasts.csv,3
application_risk_variants.planned,confirmatory,True,ApplicationNavigation-risk-adjusted-fallbacks,verified_safe_vs_hold_penalized,support_verified_safe,support_hold_penalized,risk_adjusted_score,30,0.2844518046027134,0.2876079033785345,0.245941374383428,0.3259237852544336,2.530917034465068,1.0,30,0,0,2.5221799197348743e-14,7.566539759204621e-14,1.664638747025017e-12,1.862645149230957e-09,5.587935447692871e-09,1.471489667892456e-07,results/application_risk_variants/planned_contrasts.csv,4
approximate_support.planned,confirmatory,True,ApplicationNavigation-deployment-goal-shift,feature_distance_vs_exact_count,feature_distance_support_gate,count_gated_tau_20,return_auc,30,0.7662066666666666,0.7661666666666663,0.3342171666666667,1.1930556944444444,0.6174039328247917,0.621505376344086,22,8,0,0.0020773620600234,0.0041547241200469,0.1121775512412636,0.0021877754479646,0.0043755508959293,0.11595209874212381,results/approx_support/planned_contrasts.csv,3
approximate_support.planned,confirmatory,True,ApplicationNavigation-deployment-goal-shift,feature_distance_vs_tabular,feature_distance_support_gate,tabular,return_auc,30,-1.7438588888888935,-1.755333333333338,-2.127209250000005,-1.370378055555561,-1.618392232856477,-0.9870967741935484,2,28,0,9.442466985048718e-10,2.832740095514615e-09,5.5710555211787435e-08,9.313225746154784e-09,2.7939677238464355e-08,6.053596735000609e-07,results/approx_support/planned_contrasts.csv,5
approximate_support.planned,confirmatory,True,ApplicationNavigation-deployment-goal-shift,knn_vs_exact_count,knn_support_gate,count_gated_tau_20,return_auc,30,0.4218811111111114,0.3767333333333336,0.1080405833333335,0.7377236666666667,0.465135493462496,0.4795698924731182,18,12,0,0.016406923351572,0.016406923351572,0.836753090930172,0.0208498518913984,0.0208498518913984,1.0,results/approx_support/planned_contrasts.csv,2
approximate_support.planned,confirmatory,True,ApplicationNavigation-deployment-goal-shift,knn_vs_tabular,knn_support_gate,tabular,return_auc,30,-2.0881844444444497,-2.025983333333337,-2.527158472222227,-1.6759307777777834,-1.725490867594249,-1.0,0,30,0,2.3391657210825805e-10,9.356662884330322e-10,1.426891089860374e-08,1.862645149230957e-09,7.450580596923828e-09,1.471489667892456e-07,results/approx_support/planned_contrasts.csv,4
confirmatory_extended_compact.planned,confirmatory,True,CliffWalking-v1,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,109.2777777777778,1.0,34.77166666666668,199.40013888888885,0.4606027616090389,0.6676923076923077,20,5,5,0.01738199666136,0.2781119465817613,0.8690998330679999,0.0034774072645366,0.0556385162325861,0.1773477704913666,results/confirmatory_extended_compact/planned_contrasts.csv,16
