result_family,environment,agent,seed_n_finite_returns,seed_minimum_return,seed_return_quantile_0_05,seed_worst_decile_mean_return,seed_cvar_0_10_return,seed_cvar_0_05_return,episode_n_finite_returns,episode_minimum_return,episode_return_quantile_0_05,episode_worst_decile_mean_return,episode_cvar_0_10_return,episode_cvar_0_05_return,worst_checkpoint,worst_checkpoint_return,maximum_learning_curve_drawdown,seed_failure_probability,seed_collision_rate,seed_risk_zone_rate,seed_motor_saturation_rate,seed_source_file,episode_source_file,checkpoint_source_file
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,30,0,0.381666666667,0.255555555556,0.255555555556,0.183333333333,900,0,0,0,0,0,2000,0.117777777778,0,0.354444444444,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,30,0,0,0,0,0,900,0,0,0,0,0,4000,0.112222222222,0.0588888888889,0.752222222222,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,30,-12.7736666667,-11.07825,-11.6417777778,-11.6417777778,-11.9368333333,900,-29.77,-28.39,-28.5801111111,-28.5801111111,-28.9744444444,2000,-4.57545555556,1.64913333333,0.41,0.232902141545,0.0205567728942,,results/application_navigation_case_study/seed_metrics.csv,results/application_navigation_case_study/raw.csv.gz,results/application_navigation_case_study/raw.csv.gz
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,30,-12.256,-10.6864666667,-11.2017777778,-11.2017777778,-11.5243333333,900,-29.77,-28.16,-28.3247777778,-28.3247777778,-28.7584444444,12000,-4.99525555556,1.78366666667,0.658888888889,0.182533252521,0.0155992747017,,results/application_navigation_case_study/seed_metrics.csv,results/application_navigation_case_study/raw.csv.gz,results/application_navigation_case_study/raw.csv.gz
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,30,-12.775,-11.1112166667,-11.622,-11.622,-12.2388333333,900,-29.54,-28.39,-28.4942222222,-28.4942222222,-28.8502222222,12000,-5.54234444444,3.43696666667,0.502222222222,0.244377849732,0.0169056447086,,results/application_navigation_case_study/seed_metrics.csv,results/application_navigation_case_study/raw.csv.gz,results/application_navigation_case_study/raw.csv.gz
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,30,-0.755666666667,-0.09725,-0.316222222222,-0.316222222222,-0.429833333333,900,-9.76,-3.5515,-4.16055555556,-4.16055555556,-5.11333333333,2000,-2.95893333333,0,0.455555555556,0.00670581692147,0.0327830547725,,results/application_navigation_case_study/seed_metrics.csv,results/application_navigation_case_study/raw.csv.gz,results/application_navigation_case_study/raw.csv.gz
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,tabular,30,-1.09866666667,-0.603483333333,-0.768111111111,-0.768111111111,-0.854,900,-11.03,-9.0935,-9.18744444444,-9.18744444444,-9.74911111111,2000,-5.28312222222,0,0.248888888889,0.0695517983337,0.0356371324482,,results/application_navigation_case_study/seed_metrics.csv,results/application_navigation_case_study/raw.csv.gz,results/application_navigation_case_study/raw.csv.gz
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,validated_dqn,30,-9.894,-7.03626666667,-7.92066666667,-7.92066666667,-8.92533333333,900,-29.31,-10.0065,-14.8436666667,-14.8436666667,-22.4711111111,2000,-5.0313,0.00674444444444,0.935555555556,0.0435593107951,0.0465728087848,,results/application_navigation_case_study/seed_metrics.csv,results/application_navigation_case_study/raw.csv.gz,results/application_navigation_case_study/raw.csv.gz
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,30,-2.85266666667,-2.25903333333,-2.45355555556,-2.45355555556,-2.5785,900,-15.66,-9.232,-9.81255555556,-9.81255555556,-10.7651111111,2000,-7.75348888889,0,0.374444444444,0.00601404329485,0.0287846819295,,results/application_risk_variants/seed_metrics.csv,results/application_risk_variants/raw.csv.gz,results/application_risk_variants/raw.csv.gz
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,30,-2.155,-1.19225,-1.50888888889,-1.50888888889,-1.7025,900,-26.6,-10.452,-10.9352222222,-10.9352222222,-11.7415555556,2000,-5.98946666667,0,0.257777777778,0.086789693339,0.0366775440436,,results/application_risk_variants/seed_metrics.csv,results/application_risk_variants/raw.csv.gz,results/application_risk_variants/raw.csv.gz
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,30,-3.20633333333,-2.49085,-2.70488888889,-2.70488888889,-3.01366666667,900,-29.54,-28.49,-28.5274444444,-28.5274444444,-28.9153333333,2000,-6.68245555556,0,0.121111111111,0.132044828642,0.0130153130668,,results/application_risk_variants/seed_metrics.csv,results/application_risk_variants/raw.csv.gz,results/application_risk_variants/raw.csv.gz
application_risk_variants,ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,30,2.783,3.0996,2.99988888889,2.99988888889,2.902,900,-6.99,-2.96,-3.11133333333,-3.11133333333,-3.38488888889,2000,-3.43065555556,0,0.128888888889,0.00427383184099,0.0126922776801,,results/application_risk_variants/seed_metrics.csv,results/application_risk_variants/raw.csv.gz,results/application_risk_variants/raw.csv.gz
approx_support/feature_distance_support,ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,30,-10.2803333333,-6.16301666667,-7.52911111111,-7.52911111111,-8.2645,900,-29.77,-26.3355,-24.1115555556,-24.1115555556,-28.0286666667,2000,-4.48347777778,0.738888888889,0.677777777778,0.102897114544,0.0220463363861,,results/approx_support/feature_distance_support/seed_metrics.csv,results/approx_support/feature_distance_support/raw.csv.gz,results/approx_support/feature_distance_support/raw.csv.gz
approx_support/knn_support,ApplicationNavigation-deployment-goal-shift,knn_support_gate,30,-9.41133333333,-8.0088,-8.44333333333,-8.44333333333,-8.93266666667,900,-29.54,-28.39,-27.8362222222,-27.8362222222,-28.8491111111,2000,-3.86593333333,0.951444444444,0.653333333333,0.133545634984,0.0317507344541,,results/approx_support/knn_support/seed_metrics.csv,results/approx_support/knn_support/raw.csv.gz,results/approx_support/knn_support/raw.csv.gz
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,approx_count_gated_k5,3,-18.85,-17.175,-18.85,-18.85,,9,-19.54,-19.264,-19.54,-19.54,,600,-7.51666666667,2.87222222222,1,0.315277777778,0.0180555555556,,results/approximate_support_baseline_validation/seed_metrics.csv,results/approximate_support_baseline_validation/raw.csv,results/approximate_support_baseline_validation/raw.csv
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,3,-18.85,-17.175,-18.85,-18.85,,9,-19.54,-19.264,-19.54,-19.54,,600,-7.51666666667,2.87222222222,1,0.315277777778,0.0180555555556,,results/approximate_support_baseline_validation/seed_metrics.csv,results/approximate_support_baseline_validation/raw.csv,results/approximate_support_baseline_validation/raw.csv
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,3,-2.1,-2.05,-2.1,-2.1,,9,-2.48,-2.312,-2.48,-2.48,,200,-1.86333333333,0.01,1,0.00277777777778,0.0180555555556,,results/approximate_support_baseline_validation/seed_metrics.csv,results/approximate_support_baseline_validation/raw.csv,results/approximate_support_baseline_validation/raw.csv
approximate_support_baseline_validation,ApplicationNavigation-deployment-goal-shift,tabular,3,-6.48666666667,-5.826,-6.48666666667,-6.48666666667,,9,-8.96,-7.584,-8.96,-8.96,,200,-4.75,0,0.555555555556,0.190075973409,0.0132495590829,,results/approximate_support_baseline_validation/seed_metrics.csv,results/approximate_support_baseline_validation/raw.csv,results/approximate_support_baseline_validation/raw.csv
confirmatory_extended_compact,CliffWalking-v1,count_gated_tau_20,30,-500,-13,-175.333333333,-175.333333333,-256.5,900,-500,-13,-175.333333333,-175.333333333,-337.666666667,2500,-500,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,CliffWalking-v1,fixed_hybrid,30,-500,-500,-500,-500,-500,900,-500,-500,-500,-500,-500,2500,-830,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,CliffWalking-v1,random,30,-5409.13333333,-5398.75833333,-5401.72222222,-5401.72222222,-5407.28333333,900,-9014,-6935,-7026.3,-7026.3,-7328.8,10000,-5005.05666667,58.6066666667,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,CliffWalking-v1,reliability_gated,30,-500,-500,-500,-500,-500,900,-500,-500,-500,-500,-500,2500,-704.6,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,CliffWalking-v1,support_abstain_tau_20,30,-17,-14.1,-15,-15,-16,900,-17,-15,-15,-15,-16.3333333333,2500,-665,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,CliffWalking-v1,tabular,30,-13,-13,-13,-13,-13,900,-13,-13,-13,-13,-13,2500,-693.71,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,CliffWalking-v1,validated_dqn,30,-500,-500,-500,-500,-500,900,-500,-500,-500,-500,-500,2500,-500,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,count_gated_tau_20,30,-3.94533333333,-3.8377,-3.87355555556,-3.87355555556,-3.89166666667,900,-4.33,-4.24,-4.24933333333,-4.24933333333,-4.26755555556,2500,-3.46031111111,0.185722222222,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,fixed_hybrid,30,-3.78033333333,-3.51106666667,-3.59766666667,-3.59766666667,-3.667,900,-4.31,-4.24,-4.24288888889,-4.24288888889,-4.262,2500,-3.53231111111,0.0255555555556,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,random,30,-2.14933333333,-2.08866666667,-2.10577777778,-2.10577777778,-2.14,900,-2.93,-2.75,-2.76366666667,-2.76366666667,-2.79777777778,16000,-1.6936,0.0974111111111,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,reliability_gated,30,-3.91766666667,-3.79096666667,-3.825,-3.825,-3.90966666667,900,-4.31,-4.24,-4.24244444444,-4.24244444444,-4.26266666667,2500,-3.52655555556,0.153166666667,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,support_abstain_tau_20,30,-2.39766666667,-2.08148333333,-2.17933333333,-2.17933333333,-2.2905,900,-2.87,-2.76,-2.76688888889,-2.76688888889,-2.79622222222,2500,-1.72412222222,0.0544444444444,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,tabular,30,-2.25466666667,-2.14611666667,-2.18211111111,-2.18211111111,-2.20166666667,900,-2.83,-2.74,-2.74644444444,-2.74644444444,-2.77533333333,5000,-1.72418888889,0.0829777777778,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,validated_dqn,30,-3.84566666667,-3.82261666667,-3.82955555556,-3.82955555556,-3.83916666667,900,-4.32,-4.24,-4.25144444444,-4.25144444444,-4.27222222222,2500,-3.48544444444,0.253955555556,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-7-unseen-goals,count_gated_tau_20,30,-1.99,-1.88685,-1.921,-1.921,-1.94,900,-2,-2,-2,-2,-2,2500,-1.73311111111,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-7-unseen-goals,fixed_hybrid,30,-1.98366666667,-1.91616666667,-1.93855555556,-1.93855555556,-1.95066666667,900,-2,-2,-2,-2,-2,5000,-1.71095555556,0.0380333333333,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-7-unseen-goals,random,30,-0.778666666667,-0.74395,-0.755,-0.755,-0.764833333333,900,-1.5,-1.38,-1.38477777778,-1.38477777778,-1.40533333333,2500,-0.595744444444,0.009,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-7-unseen-goals,reliability_gated,30,-1.98566666667,-1.8841,-1.91788888889,-1.91788888889,-1.93533333333,900,-2,-2,-2,-2,-2,5000,-1.709,0.00105555555556,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
