environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high,method
ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,success_rate,30,0.5900000000000001,0.12007341304832139,0.5833333333333333,0.5,0.6666666666666666,0.5451638507062667,0.6348361492937334,0.5488888888888889,0.6322222222222221,Exact count gate
ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,return_auc,30,-3.612261111111111,1.6404752943422773,-3.371483333333334,-4.361291666666666,-2.170475,-4.224824653218568,-2.9996975690036543,-4.200505527777778,-3.0434088888888886,Exact count gate
ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,collision_rate,30,0.2329021415451961,0.1253899106201768,0.22576058201058202,0.14868055555555554,0.3191215728715728,0.1860807794320724,0.27972350365831977,0.18870423768531025,0.2774538150998054,Exact count gate
ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,unsupported_state_ratio,30,0.3922222222222222,0.09695886607921186,0.4,0.30833333333333335,0.4666666666666667,0.3560171866151377,0.4284272578293067,0.35888888888888887,0.4266666666666667,Exact count gate
ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,abstention_ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exact count gate
ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,success_rate,30,0.3222222222222222,0.09839062555933151,0.3333333333333333,0.2333333333333333,0.4,0.28548255883889945,0.35896188560554493,0.28777777777777774,0.35666666666666663,Feature-distance gate
ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,return_auc,30,-2.8460544444444436,0.9702655422559042,-2.5545166666666663,-3.5187333333333317,-1.979116666666667,-3.208357552207724,-2.483751336681163,-3.1878634999999993,-2.5170823055555553,Feature-distance gate
ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,collision_rate,30,0.10289711454416024,0.08639444562431234,0.10008195832322289,0.0349632352941176,0.14597222222222217,0.07063689836622802,0.13515733072209246,0.07423645452427778,0.13351879480895437,Feature-distance gate
ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,unsupported_state_ratio,30,0.39316931216931217,0.09661146683848724,0.4,0.30833333333333335,0.4688095238095238,0.3570939975706193,0.429244626768005,0.35974074074074075,0.42761375661375656,Feature-distance gate
ApplicationNavigation-deployment-goal-shift,feature_distance_support_gate,abstention_ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feature-distance gate
