environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high,method
ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,success_rate,30,0.6255555555555556,0.09374430591477632,0.6333333333333333,0.5666666666666667,0.7,0.5905508564408495,0.6605602546702618,0.5922222222222222,0.6577777777777778,Hold fallback + penalty
ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,return_auc,30,-2.9294966666666715,0.6515375297482857,-2.940600000000005,-3.2768250000000054,-2.4855666666666716,-3.1727847786028947,-2.6862085547304484,-3.162135138888895,-2.703520222222228,Hold fallback + penalty
ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,collision_rate,30,0.006014043294853412,0.00683635317933105,0.0041666666666666,0.0027777777777777,0.00610479797979795,0.0034613070646454494,0.008566779525061375,0.003952151084273117,0.008675482808905418,Hold fallback + penalty
ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,idle_rate,30,0.38101003706609066,0.09194733313278926,0.37682327801566756,0.30651223776223774,0.457158334967801,0.34667633861576574,0.41534373551641557,0.34933951392545,0.41372708131012026,Hold fallback + penalty
ApplicationNavigation-risk-adjusted-fallbacks,support_hold_penalized,risk_adjusted_score,30,0.5814405085540931,0.10211514488333269,0.5923407324939982,0.5118359475219769,0.6630095321345322,0.5433100867987142,0.6195709303094721,0.5451140559582199,0.6165677562089231,Hold fallback + penalty
ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,success_rate,30,0.7422222222222222,0.09666204243134285,0.7666666666666667,0.6749999999999999,0.8,0.706128022386787,0.7783164220576575,0.7066666666666667,0.7744444444444446,No-hold fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,return_auc,30,-1.260382222222217,0.9509039839662364,-1.211816666666663,-1.759816666666661,-0.6018749999999947,-1.6154556053029356,-0.9053088391414983,-1.6018129166666617,-0.9408338055555504,No-hold fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,collision_rate,30,0.08678969333899672,0.02375778863781625,0.08907131974779026,0.07194796145883099,0.104177094326348,0.07791838926583428,0.09566099741215917,0.07847398999086987,0.09521512080438589,No-hold fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,idle_rate,30,0.011011203348567469,0.01225111812892765,0.00737978917717475,0.004878593628593575,0.013981965096095474,0.006436560657077472,0.015585846040057465,0.007589105385031495,0.01595726319807275,No-hold fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_no_hold,risk_adjusted_score,30,0.6543314085483688,0.11295020988323705,0.6799859663638436,0.5751330351929167,0.7328476361353897,0.6121551070298527,0.6965077100668849,0.6137062762320676,0.6928987366168897,No-hold fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,success_rate,30,0.878888888888889,0.06578924514311314,0.9,0.8333333333333334,0.9333333333333332,0.8543227810197676,0.9034549967580106,0.8544444444444445,0.9011111111111112,Shortest-path fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,return_auc,30,-1.7807677777777777,1.2724744618167136,-1.4320666666666666,-2.828283333333333,-1.0375499999999995,-2.2559175506880993,-1.3056180048674562,-2.233458,-1.3466723611111115,Shortest-path fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,collision_rate,30,0.13204482864175335,0.05903523240747127,0.12694444444444444,0.09222523744911804,0.1840972222222222,0.11000071057586291,0.15408894670764378,0.11176895866098993,0.15312172863421278,Shortest-path fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,idle_rate,30,0.008706205053054106,0.007560360702159006,0.0050703576646972,0.004021464646464575,0.011739595998316876,0.005883119970763155,0.011529290135345057,0.006207990584791842,0.011518187479138043,Shortest-path fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_shortest_path,risk_adjusted_score,30,0.7459734397418301,0.11666600099585188,0.7735375710042411,0.6453526454559335,0.8425000785320382,0.7024096390189524,0.7895372404647077,0.7040163365217007,0.7860806406441542,Shortest-path fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,success_rate,30,0.871111111111111,0.06476206574563846,0.8666666666666667,0.8083333333333333,0.9333333333333332,0.846928558332558,0.8952936638896639,0.8488888888888888,0.8933333333333333,Verified-safe fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,return_auc,30,1.5687866666666663,0.7399094789099836,1.6550499999999995,1.1206666666666663,1.9726083333333335,1.2924999265961905,1.8450734067371422,1.3039451944444442,1.8287836111111107,Verified-safe fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,collision_rate,30,0.004273831840994732,0.003936582821058629,0.0031944444444444,0.0016468253968253501,0.004532083118335025,0.0028038876577549257,0.005743776024234538,0.0030232761571792497,0.005752962203137865,Verified-safe fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,idle_rate,30,0.009449661133098676,0.00791112498776862,0.0065327184892402,0.00405092592592585,0.011870002104377025,0.006495598514005524,0.012403723752191828,0.006887476812297122,0.012346807769874905,Verified-safe fallback
ApplicationNavigation-risk-adjusted-fallbacks,support_verified_safe,risk_adjusted_score,30,0.8658923131568064,0.065609466111183,0.8633981481481482,0.8042575757575758,0.9229052373280315,0.841393335881468,0.8903912904321447,0.842972065453763,0.8884573398650378,Verified-safe fallback
