result_family,family,agent,metric,direction,n_seeds_total,n_seeds_finite,mean,median,bootstrap_ci_low,bootstrap_ci_high,availability,reason_if_unavailable,source_file,source_column
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,trajectory_deviation_rmse_m,lower_is_better,10,10,0.5444479163945732,0.5446445068450154,0.539177976903271,0.5501916935756821,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,trajectory_deviation_rmse_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,maximum_trajectory_deviation_m,lower_is_better,10,10,0.8432440221720409,0.8405111192140448,0.8345896753634805,0.852746662800656,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,maximum_trajectory_deviation_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,recovery_probability,higher_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_probability
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,recovery_time_seconds_recovered_only,lower_is_better,10,0,,,,,not_available,no finite seed-level values under the locked conditional denominator,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_time_seconds_recovered_only
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,censor_time_seconds_nonrecovered_only,descriptive,10,10,0.4,0.4,0.4,0.4,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,censor_time_seconds_nonrecovered_only
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,saturation_duration_seconds,lower_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,saturation_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,constraint_violation_duration_seconds,lower_is_better,10,10,0.3799999999999985,0.4062499999999984,0.32458333333333206,0.4299999999999982,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,constraint_violation_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,feed_forward_dqn,near_miss_duration_seconds,lower_is_better,10,10,0.00499999999999998,0.0,0.000416666666666665,0.010833333333333289,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,near_miss_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,trajectory_deviation_rmse_m,lower_is_better,10,10,0.5437191636768038,0.543245107635794,0.5387633491193434,0.5490494368875025,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,trajectory_deviation_rmse_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,maximum_trajectory_deviation_m,lower_is_better,10,10,0.8414297497568018,0.840281880608112,0.8336585955895709,0.8496543591486567,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,maximum_trajectory_deviation_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,recovery_probability,higher_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_probability
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,recovery_time_seconds_recovered_only,lower_is_better,10,0,,,,,not_available,no finite seed-level values under the locked conditional denominator,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_time_seconds_recovered_only
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,censor_time_seconds_nonrecovered_only,descriptive,10,10,0.4,0.4,0.4,0.4,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,censor_time_seconds_nonrecovered_only
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,saturation_duration_seconds,lower_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,saturation_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,constraint_violation_duration_seconds,lower_is_better,10,10,0.3804166666666652,0.4083333333333317,0.3241666666666654,0.4299999999999983,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,constraint_violation_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,fuzzy_relative_reliability,near_miss_duration_seconds,lower_is_better,10,10,0.00999999999999996,0.0,0.001249999999999995,0.019999999999999924,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,near_miss_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,trajectory_deviation_rmse_m,lower_is_better,10,10,0.5468788049036044,0.5470715001503722,0.5397862461028775,0.554687888540202,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,trajectory_deviation_rmse_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,maximum_trajectory_deviation_m,lower_is_better,10,10,0.8491405082097044,0.8468765864564876,0.8358498085479029,0.8632738513725615,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,maximum_trajectory_deviation_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,recovery_probability,higher_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_probability
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,recovery_time_seconds_recovered_only,lower_is_better,10,0,,,,,not_available,no finite seed-level values under the locked conditional denominator,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_time_seconds_recovered_only
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,censor_time_seconds_nonrecovered_only,descriptive,10,10,0.4,0.4,0.4,0.4,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,censor_time_seconds_nonrecovered_only
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,saturation_duration_seconds,lower_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,saturation_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,constraint_violation_duration_seconds,lower_is_better,10,10,0.3870833333333318,0.4083333333333317,0.3324999999999987,0.4358333333333316,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,constraint_violation_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_approximate_support,near_miss_duration_seconds,lower_is_better,10,10,0.00416666666666665,0.0,0.0,0.009583333333333294,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,near_miss_duration_seconds
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_temporal_drqn,trajectory_deviation_rmse_m,lower_is_better,10,10,0.5429050100288295,0.5463983635839922,0.5361039671030386,0.5491977783200687,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,trajectory_deviation_rmse_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_temporal_drqn,maximum_trajectory_deviation_m,lower_is_better,10,10,0.8378697270191331,0.8426405739529301,0.8241239926455235,0.8506703524098563,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,maximum_trajectory_deviation_m
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_temporal_drqn,recovery_probability,higher_is_better,10,10,0.0,0.0,0.0,0.0,available,,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_probability
diagnostic_extensions/safety_traces,combined_executed_condition_safety_trace,selected_temporal_drqn,recovery_time_seconds_recovered_only,lower_is_better,10,0,,,,,not_available,no finite seed-level values under the locked conditional denominator,results/diagnostic_extensions/safety_traces/safety_trace_seed_metrics.csv,recovery_time_seconds_recovered_only
