environment_key,environment,agent,n_seeds,mean_normalized_return_auc,median_normalized_return_auc,bootstrap_ci_low,bootstrap_ci_high,seed_level_minimum_return_auc,seed_level_q05_return_auc,seed_level_worst_decile_mean_return_auc,seed_level_cvar_0_10_return_auc,seed_level_cvar_0_05_return_auc,episode_level_n,episode_level_cvar_0_10_return,episode_level_cvar_0_05_return,mean_success_auc,mean_failure_probability,mean_collision_rate,mean_risk_zone_rate,mean_support_score,mean_support_query_latency_seconds,mean_support_memory_bytes,source_file,environment_rank
application_goal_shift,support-final-application-goal-shift,tabular,30,-0.6182522222222171,-0.6200666666666614,-0.7549221249999947,-0.4761421805555504,-1.3926166666666613,-1.1512333333333271,-1.2313722222222163,-1.2313722222222163,-1.2740999999999942,9600,-11.726499999999982,-14.353687499999984,0.5558333333333333,0.4455208333333333,0.09184147297818007,0.030521126877688553,0.5935077946684213,,,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,1.0
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,30,-1.9480894444444448,-1.8823666666666674,-2.1689819861111115,-1.7315924583333338,-3.6071,-3.095693333333333,-3.251877777777778,-3.251877777777778,-3.4478166666666668,9600,-17.021968749999992,-25.473916666666664,0.2998888888888889,0.6998958333333334,0.0648795344853272,0.020086937304454187,0.4944832740231631,0.00046174624999999994,3197.3333333333335,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,2.0
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,30,-2.524208333333333,-2.4875,-2.7873536666666663,-2.267485541666667,-4.486883333333333,-4.019765,-4.161538888888888,-4.161538888888888,-4.347366666666666,9600,-20.34332291666666,-27.863666666666667,0.2932777777777778,0.7083333333333334,0.08444979216983714,0.029201652482563997,0.45923958216856453,0.00047049145833333333,3200.0,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,3.0
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,30,-2.654319444444445,-2.382658333333333,-2.9995802361111106,-2.3454529444444447,-5.283783333333333,-4.212823333333333,-4.566105555555555,-4.566105555555555,-4.773308333333333,9600,-21.54921874999999,-28.058666666666667,0.2726111111111111,0.7271874999999998,0.08022406087975313,0.023989501090293946,0.46155776090610456,0.0006553195833333333,429588.0,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,4.0
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,30,-2.9157172222222223,-2.7923666666666667,-3.3690596805555555,-2.4696687638888895,-5.93775,-5.152724166666667,-5.412677777777778,-5.412677777777778,-5.5568583333333335,9600,-27.39584375,-28.477187500000003,0.3456111111111111,0.6545833333333333,0.1094224182383466,0.022272945154489052,0.37622183667785064,0.0009282039583333333,3186.133333333333,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,5.0
application_goal_shift,support-final-application-goal-shift,tolerance_knn_executed,30,-3.071599444444444,-2.8673083333333333,-3.474114208333332,-2.7061597361111094,-6.478616666666666,-5.210643333333333,-5.603049999999999,-5.603049999999999,-6.048824999999999,9600,-23.74720833333333,-28.431874999999998,0.2978333333333334,0.7041666666666665,0.10280822559882381,0.036852471112762866,0.4317611273669729,0.000500839375,3201.6,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,6.0
application_goal_shift,support-final-application-goal-shift,dqn,30,-4.152501111111111,-3.978266666666667,-4.440250499999999,-3.8901033055555554,-6.349966666666667,-5.5139125,-5.779161111111111,-5.779161111111111,-6.022633333333333,9600,-19.339749999999995,-27.44183333333334,0.06383333333333333,0.9348958333333335,0.0642388281619252,0.04943006861630783,0.0,,,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,7.5
application_goal_shift,support-final-application-goal-shift,exact_count_gate,30,-4.152501111111111,-3.978266666666667,-4.440250499999999,-3.8901033055555554,-6.349966666666667,-5.5139125,-5.779161111111111,-5.779161111111111,-6.022633333333333,9600,-19.339749999999995,-27.44183333333334,0.06383333333333333,0.9348958333333335,0.0642388281619252,0.04943006861630783,0.0,7.9625e-06,4753.6,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,7.5
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,30,-6.565976666666665,-5.654324999999999,-7.5589859444444425,-5.635613222222222,-12.864783333333332,-11.618950833333331,-12.033511111111109,-12.033511111111109,-12.24670833333333,9600,-28.10078125,-28.835541666666668,0.07244444444444444,0.9269791666666667,0.15582611439450889,0.04061023335212369,0.652857477237617,0.0011682599999999997,3174.9333333333334,results/diagnostic_extensions/support_final/execution/application_goal_shift/raw.csv.gz,9.0
independent_observation_shift,support-final-observation-shift,tabular,30,-1.0543520833333342,-1.0525937500000007,-1.1071983854166674,-0.9985261979166674,-1.3006875000000009,-1.2593375000000009,-1.2730625000000009,-1.2730625000000009,-1.2804062500000009,3000,-2.2616,-2.437666666666666,0.41562499999999997,0.5890000000000001,0.0,0.0,0.08696643488394842,,,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,1.0
independent_observation_shift,support-final-observation-shift,raw_normalized_s1,30,-1.6583208333333337,-1.7041875000000006,-1.7345716666666673,-1.5750349479166668,-1.9947500000000002,-1.9576562500000005,-1.9697916666666673,-1.9697916666666673,-1.9777500000000003,3000,-3.0908666666666686,-3.110400000000002,0.32708333333333334,0.6723333333333333,0.0,0.0,0.7240104988404136,0.006049880666666666,37537.6,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,2.0
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,30,-1.6733125000000006,-1.6767500000000002,-1.7526995312500004,-1.5954488020833342,-2.119250000000001,-2.05036875,-2.0682500000000004,-2.0682500000000004,-2.11909375,3000,-3.090266666666668,-3.107000000000001,0.3129166666666667,0.6863333333333332,0.0,0.0,0.729181253660947,0.006985106000000001,1521099.7333333334,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,3.0
independent_observation_shift,support-final-observation-shift,tolerance_knn_executed,30,-1.6977416666666671,-1.7424375000000007,-1.7964770833333341,-1.597632916666667,-2.3166875,-2.0254125000000007,-2.121854166666667,-2.121854166666667,-2.1754375,3000,-3.094566666666668,-3.112600000000002,0.32,0.6823333333333335,0.0,0.0,0.636056845521223,0.005902474666666668,35600.53333333333,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,4.0
independent_observation_shift,support-final-observation-shift,mahalanobis_s1,30,-1.7198937500000004,-1.7355625000000006,-1.7857127083333337,-1.6486359895833336,-2.0297500000000004,-1.9775375000000002,-1.9947083333333335,-1.9947083333333335,-2.0052187500000005,3000,-3.099666666666668,-3.116666666666668,0.32333333333333325,0.6796666666666665,0.0,0.0,0.48747926141933284,0.006768680666666665,36978.666666666664,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,5.0
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,30,-1.7552729166666672,-1.7888437500000007,-1.8348563020833333,-1.6675804687500002,-2.0950625,-2.0333156250000006,-2.0535000000000005,-2.0535000000000005,-2.0668750000000005,3000,-3.095366666666668,-3.112133333333335,0.31250000000000006,0.687,0.0,0.0,0.6785827251341091,0.006388501333333333,35630.4,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,6.0
independent_observation_shift,support-final-observation-shift,gaussian_density_s3,30,-2.0496312500000005,-2.0561875,-2.1048813020833332,-1.9960433333333336,-2.4596875,-2.247121875,-2.3177916666666665,-2.3177916666666665,-2.3546562499999997,3000,-3.085566666666668,-3.1048000000000022,0.19312500000000005,0.8053333333333332,0.0,0.0,0.9640520438500793,0.0028830853333333337,32526.933333333334,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,7.0
independent_observation_shift,support-final-observation-shift,dqn,30,-2.1442479166666675,-2.1801250000000003,-2.2193648437500006,-2.059424322916667,-2.490875000000001,-2.4210500000000006,-2.444208333333334,-2.444208333333334,-2.4567500000000004,3000,-3.100300000000001,-3.1176000000000013,0.195625,0.8076666666666665,0.0,0.0,0.0,,,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,8.5
