environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
MiniGrid-Empty-5x5,return_auc,count_gated_tau_20,dqn,10,0.14235000000000003,0.07883333333333334,0.047450000000000006,0.25272041666666667,0.8187507764519439,1.0,0.029255801691688666,0.0625,0.0625,5,0,5,1.0,count_vs_dqn,0.05851160338337733,0.125,0.125
MiniGrid-Empty-5x5,return_auc,reliability_gated,dqn,10,0.04775,0.0,0.0,0.11141666666666668,0.44447831849231534,1.0,0.1934220596033322,0.5,0.5,2,0,8,1.0,reliability_vs_dqn,0.1934220596033322,0.5,0.5
