source_file,sha256,compressed_bytes,uncompressed_bytes,trace_rows,trace_schema_version,environment,agent,seed,phase_set,outcome_metadata_complete
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16000.trace.csv.gz,0b88974115e51d6a59c375ae69c9ac65cf4dce2d04ff53a213626387fee0253f,45852,218378,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16000,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16001.trace.csv.gz,79acbc9b2ea2e07b8dc3af70a65575ceb10a7323599200d839b249f532e6d978,45872,217000,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16001,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16002.trace.csv.gz,dfcce6252cfc39b52c0869eca712bc5a52e83dffa69e201504eaecc0217089d7,45948,218291,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16002,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16003.trace.csv.gz,49310e08bcd5507b7811a7f6d4b1c64c90ffb488bb99c5822537bdb3c10dbea3,45438,218288,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16003,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16004.trace.csv.gz,008e031a7d6f767ef3d77f2a805c391c2b15769d5e9a1a1e3f6faba78a7655ff,45725,218037,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16004,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16005.trace.csv.gz,6c67766d4a477402feff08bcf86fbc7f449a7ac63d4d1bd7355e997206f27e17,45720,219086,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16005,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16006.trace.csv.gz,1b6d7a1fc5aa003bc022c04bb65e1a23d2dd08caa294b7affb53a26e1edf469a,45853,218011,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16006,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16007.trace.csv.gz,fccc86cda672430f657ddb200ab86e553fe9dc2791ad346f2469eadfaff32f8b,45750,216861,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16007,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16008.trace.csv.gz,69745eb25b4e3390e21c04fbcdf6b7231762071ef1d967b9ca0e04b2cbab7732,45752,218176,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16008,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16009.trace.csv.gz,dae9c0b23ad8d54212a326af5118105e6138d0b95b254ebd85e8238375248616,45656,218179,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16009,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16010.trace.csv.gz,9fbdc2e68fa7128ce1bde5b7c4e37167d17eec7bf43ab8e0cdf792438534d7b2,45785,218248,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16010,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16011.trace.csv.gz,f681f65c24a2d68bab988eb7aa7ac08cc66b2e13b3bc4363906a760a8c683c31,45489,218937,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16011,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16012.trace.csv.gz,9400271b96b1252d03ba7a602251846be6f57d397fa0f340add5418c6364f0ed,46085,218294,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16012,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16013.trace.csv.gz,77c5e6060fb1fc22f7ed1eb02b6043c89cf150afeb1b6dc5f34b994315d61ad5,45721,218601,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16013,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16014.trace.csv.gz,28c15280636abc5e2f29a7517468bf588115991af2a4627471a43da257371423,45724,218696,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16014,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16015.trace.csv.gz,7df16cacd7ce15369b604cc6e624a77e1d0bd7af7da1c04ff571377247166fbc,45527,215890,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16015,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16016.trace.csv.gz,efd7a5d921d5160747d24fad34a4063f1da32764faf5ffa3f0d5c688e697c799,45741,218224,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16016,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16017.trace.csv.gz,3634c91a0ac07b5a9d6efe66f48e6528e72ca23816926c5ec88e2392a5236118,45598,218947,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16017,eval,True
results/reviewer1_remaining/sensorized_final/trace_shards/combined_executed_condition__feed_forward_dqn__seed_16018.trace.csv.gz,1729fe1c8c4d8015e4ade3c6668efbb221b9cd4e0c48949bba54a0c89bcfae28,45178,218933,240,sensorized_sil_trace_v2,combined_executed_condition,feed_forward_dqn,16018,eval,True
