environment,agent,seed,phase,correctness_target,inferential_status,support_bin_low,support_bin_high,eligible_decision_count,mean_support,correctness_rate,status,reason_if_unavailable
combined_executed_condition,feed_forward_dqn,16000,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16001,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16002,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16003,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16004,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16005,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16006,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16007,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16008,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16009,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16010,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16011,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16012,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16013,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16014,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16015,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16016,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
combined_executed_condition,feed_forward_dqn,16017,eval,unavailable,not_available,,,0,,,not_available,support/correctness pair unavailable
