environment,agent,seed,phase,checkpoint,episode,trace_steps,initial_trajectory_error,trajectory_error_mean,trajectory_error_min,trajectory_error_max,trajectory_error_final,recovery_event_count,recovery_event_occurred,constraint_steps,constraint_duration_seconds,saturation_steps,saturation_duration_seconds,target_visibility_fraction,target_visible_any,target_visible_all,episode_success,failure_stage,source_file
combined_executed_condition,feed_forward_dqn,16002,eval,120,3,30,0.8444289461007821,0.8211528579394023,0.7701935172080994,0.8444101214408875,0.7701935172080994,0,0,23,0.3833333333333333,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,120,4,30,0.8608842147302725,0.8744167844454448,0.859890878200531,0.911984920501709,0.911984920501709,0,0,30,0.5,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,240,1,30,0.8483652482692555,0.8429360270500184,0.8262125253677368,0.8483625054359436,0.8262125253677368,1,1,22,0.36666666666666664,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,240,2,30,0.8682354116085205,0.886045887072881,0.8682456612586975,0.922447681427002,0.922447681427002,0,0,17,0.2833333333333333,0,0.0,0.4,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,240,3,30,0.8587394414453308,0.8648778577645619,0.858756422996521,0.8773914575576782,0.8773914575576782,0,0,18,0.3,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,240,4,30,0.8174722885406335,0.8032914201418558,0.7646100521087646,0.8175567388534546,0.7646100521087646,0,0,30,0.5,0,0.0,0.9333333333333333,1,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,120,1,30,0.8630568934883031,0.8485306382179261,0.8227968215942383,0.8630010485649109,0.8227968215942383,1,1,25,0.4166666666666667,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,120,2,30,0.8191200669516637,0.8072941462198894,0.7792168855667114,0.8193324208259583,0.7792168855667114,0,0,30,0.5,0,0.0,0.9333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,120,3,30,0.8317546067951388,0.8409359176953634,0.8315518498420715,0.8621599674224854,0.8621599674224854,0,0,22,0.36666666666666664,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,120,4,30,0.8527628957649012,0.8512926816940307,0.8479971885681152,0.8527578115463257,0.8479971885681152,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,240,1,30,0.8297346544905272,0.8490946590900421,0.829769492149353,0.8924098014831543,0.8924098014831543,0,0,19,0.31666666666666665,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,240,2,30,0.8300408396072239,0.8476705729961396,0.8300569653511047,0.8878638744354248,0.8878638744354248,0,0,17,0.2833333333333333,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,240,3,30,0.8204972614204589,0.8372566978136698,0.8205137848854065,0.880520224571228,0.880520224571228,0,0,24,0.4,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16003,eval,240,4,30,0.8198792556820214,0.8366728524367014,0.8197682499885559,0.8808020353317261,0.8808020353317261,0,0,26,0.43333333333333335,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,120,1,30,0.8422483443756235,0.8589974204699199,0.8422979116439819,0.8945357203483582,0.8945357203483582,0,0,30,0.5,0,0.0,0.9333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,120,2,30,0.8061119208321611,0.8145133495330811,0.8061147928237915,0.8342983722686768,0.8342983722686768,0,0,17,0.2833333333333333,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,120,3,30,0.8455005307078589,0.8619851867357889,0.8455215692520142,0.9030647277832032,0.9030647277832032,0,0,30,0.5,0,0.0,0.9,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,120,4,30,0.8379251938074493,0.8372119804223378,0.833106517791748,0.8381840586662292,0.833106517791748,0,0,30,0.5,0,0.0,0.43333333333333335,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,240,1,30,0.8481907224198069,0.8604961176713307,0.8481112122535706,0.8872326016426086,0.8872326016426086,0,0,30,0.5,0,0.0,0.4666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,240,2,30,0.8391913077038162,0.8360913972059886,0.831752598285675,0.8450173139572144,0.8450173139572144,0,0,30,0.5,0,0.0,0.4666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,240,3,30,0.8565248679384216,0.8490848223368327,0.8306786417961121,0.8564901351928711,0.8306786417961121,0,0,5,0.08333333333333333,0,0.0,1.0,1,1,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16004,eval,240,4,30,0.8607209437832116,0.8537253816922505,0.8362492322921753,0.8610341548919678,0.8362492322921753,0,0,30,0.5,0,0.0,1.0,1,1,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,120,1,30,0.852355266130152,0.8824637552102407,0.8524078726768494,0.9452563524246216,0.9452563524246216,0,0,22,0.36666666666666664,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,120,2,30,0.879031080373187,0.8780724207560221,0.8772180676460266,0.8801252841949463,0.8801252841949463,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,120,3,30,0.8509399752985763,0.844707461198171,0.8258744478225708,0.8513401746749878,0.8258744478225708,0,0,30,0.5,0,0.0,0.5666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,120,4,30,0.8253531298580431,0.8274394909540812,0.8240222930908203,0.837125837802887,0.837125837802887,0,0,14,0.23333333333333334,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
